Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
INFUSIONES GRANEL;0.754;0.382;0.0;0.382;0.0;0.0;0.382;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.168;0.07;0.098;0.098;0.0;0.0;0.115;0.0;0.0;0.0;0.0;0.063;3.0;enero
TE;8.801;0.507;0.084;0.43;0.0;0.0;0.359;0.04;0.0;0.0;0.0;0.0;0.0;0.026;8.078;1.722;6.616;5.682;1.187;0.007;0.0;0.0;0.0;0.0;0.168;0.183;3.0;enero
MANZANILLA;4.751;0.082;0.0;0.082;0.0;0.0;0.069;0.0;0.0;0.013;0.0;0.0;0.0;0.0;4.479;0.818;3.761;3.249;0.503;0.062;0.0;0.051;0.0;0.0;0.081;0.085;3.0;enero
POLEO;1.385;0.028;0.0;0.028;0.0;0.0;0.028;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.36;0.177;1.2;0.99;0.201;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;enero
OTRAS INFUSIONES;13.297;1.1;0.102;1.018;0.0;0.0;0.738;0.28;0.0;0.036;0.0;0.0;0.0;0.0;11.746;2.32;9.966;8.719;1.634;0.03;0.147;0.0;0.0;0.0;0.434;0.459;3.0;enero
CALDOS;13.05;0.275;0.084;0.187;0.017;0.054;0.04;0.0;0.0;0.0;0.0;0.0;0.0;0.075;12.336;2.066;10.446;8.755;1.834;0.047;0.0;0.0;0.0;0.0;0.283;0.259;1.0;enero
AYUDAS CULINARIAS;1.288;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.239;0.143;1.129;1.016;0.113;0.0;0.0;0.0;0.0;0.0;0.048;0.0;2.0;enero
SALSAS;60.451;1.217;0.44;0.791;0.0;0.326;0.088;0.0;0.185;0.049;0.0;0.026;0.0;0.131;58.442;13.943;51.033;43.522;13.717;0.165;0.0;0.01;0.0;0.0;1.528;2.014;1.0;enero
KETCHUP;14.541;0.112;0.112;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.724;2.749;11.167;8.963;2.333;0.025;0.0;0.0;0.0;0.0;0.347;0.423;2.0;enero
MAYONESA;38.142;0.614;0.275;0.336;0.0;0.109;0.0;0.0;0.061;0.056;0.0;0.026;0.0;0.078;36.103;7.541;30.263;25.085;6.936;0.153;0.0;0.005;0.0;0.0;0.939;1.023;2.0;enero
MAYONESA LIGHT;9.759;0.055;0.055;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.528;1.503;8.178;7.048;1.509;0.006;0.0;0.0;0.0;0.0;0.151;0.102;3.0;enero
MOSTAZA;4.685;0.033;0.0;0.033;0.0;0.0;0.0;0.0;0.033;0.0;0.0;0.0;0.0;0.0;4.5;0.948;3.558;2.578;1.001;0.0;0.0;0.0;0.0;0.0;0.117;0.036;2.0;enero
OTRAS SALSAS;36.558;0.711;0.186;0.525;0.0;0.251;0.088;0.0;0.089;0.035;0.0;0.0;0.0;0.053;35.266;8.043;30.216;25.599;7.138;0.018;0.0;0.005;0.0;0.0;0.792;0.906;2.0;enero
AGUA DE BEBIDA ENVAS.;52.385;1.117;0.42;0.72;0.0;0.075;0.052;0.049;0.021;0.049;0.0;0.13;0.211;0.152;49.603;11.335;44.224;38.765;10.768;0.311;0.0;1.204;0.033;0.046;1.522;1.917;1.0;enero
AGUA DE BEB.CON GAS;7.657;0.061;0.011;0.05;0.0;0.0;0.0;0.0;0.0;0.021;0.0;0.0;0.013;0.016;7.472;1.503;6.567;5.654;1.303;0.0;0.0;0.009;0.0;0.0;0.101;0.109;2.0;enero
AGUA DE BEB.SIN GAS;49.248;1.08;0.41;0.691;0.0;0.075;0.052;0.049;0.021;0.048;0.0;0.13;0.198;0.136;46.36;10.397;41.203;36.096;9.959;0.311;0.0;1.195;0.033;0.046;1.473;1.854;2.0;enero
GASEOSAS Y BEBID.REFR;71.642;1.706;0.775;0.989;0.017;0.128;0.052;0.019;0.042;0.046;0.022;0.212;0.184;0.289;69.806;18.471;63.42;55.729;20.292;0.26;0.022;0.467;0.0;0.012;2.407;3.203;1.0;enero
GASEOSAS;12.576;0.17;0.113;0.055;0.017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.038;0.0;12.097;2.177;10.649;8.894;2.574;0.03;0.0;0.075;0.0;0.0;0.333;0.235;2.0;enero
BEBIDAS REFRESCANTES;69.352;1.611;0.712;0.955;0.0;0.128;0.052;0.019;0.042;0.046;0.022;0.212;0.167;0.289;67.599;17.831;61.356;53.712;19.431;0.261;0.022;0.4;0.0;0.012;2.301;3.089;2.0;enero
BEB.REFRESC.NARANJA;17.392;0.305;0.152;0.154;0.0;0.07;0.0;0.0;0.015;0.0;0.0;0.027;0.027;0.011;16.323;3.22;13.949;11.612;3.153;0.108;0.0;0.051;0.0;0.0;0.567;0.633;3.0;enero
BEB.REFRESC.LIMON;18.797;0.233;0.109;0.126;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023;0.08;0.028;17.986;3.409;15.706;12.386;4.368;0.015;0.0;0.047;0.0;0.0;0.347;0.591;3.0;enero
BEB.REFRESC.COLA;43.272;0.899;0.381;0.558;0.0;0.093;0.018;0.0;0.031;0.046;0.0;0.164;0.055;0.149;41.366;9.609;35.867;30.111;10.267;0.189;0.0;0.221;0.0;0.012;1.538;1.658;3.0;enero
COLA NORMAL;20.747;0.411;0.183;0.237;0.0;0.06;0.0;0.0;0.027;0.046;0.0;0.062;0.013;0.035;19.535;4.456;16.799;13.9;4.627;0.073;0.0;0.111;0.0;0.0;0.462;0.968;4.0;enero
COLA LIGHT;21.092;0.316;0.197;0.132;0.0;0.0;0.018;0.0;0.004;0.0;0.0;0.037;0.014;0.059;19.942;4.449;17.034;13.744;5.11;0.091;0.0;0.113;0.0;0.012;0.923;0.687;4.0;enero
COLA SIN CAFEINA;1.239;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.197;0.296;0.921;0.861;0.098;0.009;0.0;0.0;0.0;0.0;0.008;0.039;4.0;enero
COLA LIGHT S/CAFE.;10.356;0.273;0.082;0.2;0.0;0.034;0.0;0.0;0.0;0.0;0.0;0.069;0.027;0.069;9.928;2.07;8.438;6.982;2.033;0.071;0.0;0.0;0.0;0.0;0.351;0.219;4.0;enero
BEB.REFRESC.TONICA;9.745;0.145;0.059;0.092;0.0;0.0;0.016;0.0;0.0;0.0;0.0;0.0;0.074;0.0;9.281;2.216;7.499;5.841;2.149;0.018;0.0;0.08;0.0;0.0;0.201;0.251;3.0;enero
BEB.REF.TE/CAFE;18.169;0.256;0.074;0.187;0.0;0.0;0.028;0.012;0.0;0.0;0.022;0.04;0.0;0.092;17.662;3.779;15.605;12.865;4.346;0.019;0.0;0.023;0.0;0.0;0.402;0.429;3.0;enero
BEB.REF.ISOTONICAS;19.546;0.315;0.217;0.098;0.0;0.023;0.0;0.01;0.0;0.0;0.0;0.015;0.0;0.051;18.653;3.955;16.239;13.905;3.965;0.082;0.0;0.03;0.0;0.0;0.437;0.675;3.0;enero
BEBIDAS ENERGETICA;5.993;0.012;0.012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.769;1.411;4.953;4.096;1.537;0.029;0.0;0.0;0.0;0.0;0.052;0.258;4.0;enero
OTRAS BEB.REFRESC.;22.285;0.231;0.181;0.055;0.0;0.006;0.007;0.0;0.0;0.0;0.0;0.0;0.01;0.035;21.429;4.676;18.371;15.896;3.464;0.044;0.022;0.037;0.0;0.0;0.529;0.518;3.0;enero
BEBIDAS ZUMO+LECHE;8.739;0.046;0.036;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01;0.0;8.508;1.191;7.688;6.207;1.707;0.013;0.0;0.023;0.0;0.0;0.127;0.124;4.0;enero
BASES PIZZAS&MASAS HO;18.879;0.077;0.0;0.077;0.0;0.024;0.007;0.0;0.0;0.048;0.0;0.0;0.0;0.0;18.422;3.302;15.769;12.29;4.46;0.0;0.0;0.007;0.0;0.0;0.469;0.091;1.0;enero
ALGAS;0.279;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.27;0.106;0.163;0.163;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011;2.0;enero
HARINAS Y SEMOLAS;19.69;0.936;0.21;0.701;0.0;0.021;0.232;0.0;0.033;0.0;0.0;0.27;0.0;0.131;18.245;3.906;15.122;13.04;2.721;0.021;0.0;0.0;0.0;0.015;0.364;0.62;1.0;enero
ENCURTIDOS;19.132;1.268;0.215;1.053;0.057;0.0;0.0;0.0;0.093;0.66;0.0;0.0;0.025;0.265;17.206;2.554;15.266;11.737;4.164;0.025;0.359;0.0;0.0;0.0;0.484;0.554;1.0;enero
ESPECIAS Y CONDIMENTO;26.877;1.31;0.254;1.063;0.0;0.0;0.261;0.0;0.073;0.372;0.0;0.0;0.0;0.356;24.6;3.914;21.654;17.927;4.742;0.031;0.315;0.043;0.044;0.0;0.484;0.814;1.0;enero
SAL;17.89;0.202;0.126;0.077;0.0;0.0;0.063;0.0;0.0;0.0;0.0;0.0;0.0;0.014;17.008;2.538;14.613;11.826;2.898;0.017;0.0;0.0;0.0;0.0;0.392;0.349;1.0;enero
CARAMELOS,CHICLES&GOL;29.191;0.657;0.191;0.467;0.0;0.0;0.103;0.113;0.011;0.109;0.0;0.023;0.0;0.113;27.688;4.916;24.715;20.061;6.775;0.015;0.068;0.002;0.0;0.0;0.542;1.468;1.0;enero
COMPLEMENTS&DIETETICO;0.821;0.019;0.0;0.019;0.0;0.0;0.0;0.019;0.0;0.0;0.0;0.0;0.0;0.0;0.769;0.223;0.559;0.546;0.012;0.0;0.0;0.0;0.0;0.0;0.0;0.032;1.0;enero
OTROS PROD.EN PESO;58.805;1.922;0.406;1.534;0.016;0.897;0.214;0.008;0.021;0.106;0.0;0.121;0.0;0.219;56.345;12.831;50.737;42.28;16.68;0.22;0.153;0.202;0.0;0.047;1.64;2.065;1.0;enero
SNACKS APERITIVOS;37.471;0.81;0.364;0.443;0.0;0.018;0.047;0.0;0.021;0.112;0.0;0.083;0.0;0.17;35.945;7.701;31.659;25.173;10.49;0.146;0.153;0.03;0.0;0.023;0.736;1.164;2.0;enero
PROTEINAS VEGETALES;6.426;0.251;0.0;0.251;0.016;0.136;0.131;0.0;0.0;0.0;0.0;0.0;0.0;0.014;5.825;1.375;4.875;3.172;2.185;0.049;0.0;0.0;0.0;0.0;0.414;0.247;2.0;enero
OTROS PROD.EN VOLUMEN;19.365;0.173;0.01;0.162;0.0;0.0;0.129;0.0;0.0;0.0;0.0;0.0;0.008;0.026;18.607;3.446;16.457;12.915;5.111;0.028;0.0;0.0;0.0;0.0;0.72;0.393;1.0;enero
BEBIDAS VEGETALES;18.312;0.173;0.01;0.162;0.0;0.0;0.129;0.0;0.0;0.0;0.0;0.0;0.008;0.026;17.589;3.269;15.539;11.958;5.057;0.028;0.0;0.0;0.0;0.0;0.712;0.356;2.0;enero
.T.ALIMENT.ECOLOGICOS;51.577;15.004;0.926;14.513;1.418;0.351;1.324;0.093;3.474;1.799;0.202;5.537;0.08;5.613;41.745;11.016;36.115;25.496;16.06;0.591;1.273;1.156;0.0;1.533;1.787;3.681;0.0;enero
T.HUEVOS KGS ECO.;5.998;1.249;0.115;1.134;0.0;0.0;0.0;0.0;0.12;0.494;0.147;0.035;0.0;0.386;3.09;0.949;2.359;1.476;0.988;0.072;0.052;0.378;0.0;0.758;0.151;0.822;1.0;enero
T.HUEVOS UNDS.ECO.;5.998;1.249;0.115;1.134;0.0;0.0;0.0;0.0;0.12;0.494;0.147;0.035;0.0;0.386;3.09;0.949;2.359;1.476;0.988;0.072;0.052;0.378;0.0;0.758;0.151;0.822;1.0;enero
T.HUEVOS GALLINA ECO;5.889;1.184;0.115;1.069;0.0;0.0;0.0;0.0;0.12;0.427;0.147;0.035;0.0;0.386;3.09;0.949;2.359;1.476;0.988;0.072;0.052;0.378;0.0;0.743;0.151;0.773;2.0;enero
TOTAL CARNE ECO.;15.915;4.044;0.349;3.83;0.0;0.034;0.137;0.0;3.291;0.453;0.0;0.027;0.0;0.022;12.054;2.496;10.264;7.432;3.135;0.231;0.019;0.082;0.0;0.323;0.213;0.439;1.0;enero
CARNE FRESCA ECO.;13.585;3.431;0.342;3.217;0.0;0.0;0.031;0.0;2.913;0.328;0.0;0.0;0.0;0.0;10.332;2.054;8.836;6.376;2.763;0.164;0.0;0.082;0.0;0.192;0.174;0.335;2.0;enero
CARNE CONGELADA ECO.;0.525;0.034;0.0;0.034;0.0;0.034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.397;0.018;0.379;0.307;0.072;0.0;0.0;0.0;0.0;0.068;0.0;0.013;2.0;enero
CARNE TRANSFORM.ECO.;4.586;1.333;0.067;1.348;0.0;0.0;0.106;0.0;0.997;0.188;0.0;0.027;0.0;0.022;3.094;0.756;2.475;1.975;0.456;0.069;0.019;0.0;0.0;0.212;0.069;0.129;2.0;enero
TOTAL PESCA ECO.;6.989;1.996;0.035;2.0;1.413;0.2;0.0;0.0;0.005;0.42;0.0;0.0;0.0;0.019;4.884;1.335;3.819;3.305;0.687;0.0;0.017;0.17;0.0;0.0;0.079;0.183;1.0;enero
PESCADOS ECO. .;4.629;1.88;0.047;1.874;1.347;0.156;0.0;0.0;0.005;0.405;0.0;0.0;0.0;0.0;2.87;0.56;2.423;2.364;0.213;0.0;0.0;0.17;0.0;0.0;0.025;0.171;2.0;enero
MARISC/MOLS/CRS ECO.;2.804;1.01;0.041;0.974;0.664;0.068;0.0;0.0;0.005;0.25;0.0;0.0;0.0;0.0;1.548;0.429;1.187;0.925;0.256;0.0;0.017;0.17;0.0;0.0;0.025;0.02;2.0;enero
