Alimentos;T.ESPAÑA;TIENDA TRADICIONAL;T.T.GENERAL;T.T.ESPECIALIZADA;PESCADERIAS;TIENDA CONGELADOS;HERBORISTERIAS;FARMACIAS;CARNICERIA/CHARCUT;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;DISTR ORGA/PLATAFORMA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;ECONOMATO/COOPERATIVA;MERCADILLOS/AMBULANTES;VENTA A DOMICILIO;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;E-COMMERCE;RESTO CANALES;Nivel;Hoja
PAVO;24.957;2.903;0.175;2.722;0.0;0.0;0.051;0.0;2.131;0.512;0.0;0.0;0.0;0.022;22.433;2.576;20.553;14.948;6.706;0.0;0.0;0.0;0.013;0.0;0.418;0.165;4.0;enero
OTRAS AVES;6.265;0.883;0.012;0.871;0.0;0.0;0.0;0.0;0.688;0.183;0.0;0.0;0.0;0.0;5.225;0.458;4.833;3.378;1.634;0.0;0.0;0.0;0.183;0.0;0.129;0.046;2.0;enero
CARNE CABALLO;0.911;0.528;0.0;0.528;0.0;0.0;0.0;0.0;0.331;0.196;0.0;0.0;0.0;0.0;0.378;0.067;0.31;0.266;0.043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
CARNE CONGELADA;10.746;1.663;0.0;1.663;0.011;1.115;0.0;0.0;0.484;0.039;0.0;0.0;0.0;0.0;8.615;0.843;7.88;7.22;0.772;0.1;0.037;0.074;0.052;0.016;0.155;0.372;2.0;enero
C.CONG.POLLO;6.784;1.349;0.0;1.349;0.011;1.035;0.0;0.0;0.264;0.039;0.0;0.0;0.0;0.0;5.251;0.677;4.612;4.232;0.395;0.092;0.037;0.068;0.0;0.017;0.101;0.131;3.0;enero
C.CONG.CERDO;2.756;0.373;0.0;0.373;0.0;0.268;0.0;0.0;0.104;0.0;0.0;0.0;0.0;0.0;2.231;0.039;2.185;1.995;0.189;0.011;0.0;0.006;0.0;0.015;0.031;0.14;3.0;enero
C.CONG.VACA;1.305;0.446;0.0;0.446;0.0;0.268;0.0;0.0;0.179;0.0;0.0;0.0;0.0;0.0;0.568;0.09;0.48;0.403;0.078;0.022;0.0;0.0;0.052;0.0;0.022;0.223;3.0;enero
RESTO CARNES CONG.;2.352;0.258;0.0;0.258;0.011;0.225;0.0;0.0;0.021;0.0;0.0;0.0;0.0;0.0;2.048;0.079;1.967;1.799;0.173;0.0;0.0;0.0;0.0;0.0;0.012;0.032;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.036;0.022;0.0;0.022;0.0;0.022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013;0.0;0.013;0.013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;92.341;14.634;1.351;13.802;0.0;0.133;0.109;0.0;11.021;2.327;0.024;0.133;0.159;0.631;89.45;22.765;84.136;74.414;30.251;0.449;0.463;0.252;0.032;0.375;2.87;3.331;2.0;enero
JAMON CURADO+PALETA;53.417;6.491;0.601;5.944;0.0;0.015;0.01;0.0;4.474;1.417;0.0;0.041;0.068;0.117;48.511;8.712;43.052;35.997;10.336;0.114;0.244;0.07;0.0;0.112;0.877;0.941;3.0;enero
JAMON C.+P.ENTERO;7.201;1.911;0.124;1.797;0.0;0.0;0.0;0.0;1.332;0.451;0.0;0.015;0.0;0.0;4.828;0.97;3.92;3.838;0.077;0.0;0.14;0.0;0.0;0.043;0.072;0.298;4.0;enero
JAMON C.+P.LONCHA;50.964;5.429;0.547;4.926;0.0;0.015;0.01;0.0;3.705;1.143;0.0;0.044;0.068;0.117;46.733;8.121;41.528;34.227;10.308;0.114;0.107;0.07;0.0;0.07;0.818;0.72;4.0;enero
JAMON CURADO NORMAL;46.985;4.616;0.468;4.218;0.0;0.015;0.01;0.0;3.229;0.991;0.0;0.044;0.0;0.007;43.271;7.248;38.419;31.756;9.31;0.114;0.244;0.033;0.0;0.0;0.763;0.701;3.0;enero
JAMON C.N.ENTER/PI;5.721;1.477;0.124;1.366;0.0;0.0;0.0;0.0;0.979;0.387;0.0;0.0;0.0;0.0;3.871;0.74;3.131;3.077;0.05;0.0;0.139;0.0;0.0;0.0;0.055;0.255;4.0;enero
JAMON C.N.LONCHA;44.747;3.693;0.416;3.329;0.0;0.015;0.01;0.0;2.571;0.736;0.0;0.044;0.0;0.007;41.671;6.748;37.111;30.218;9.291;0.114;0.107;0.033;0.0;0.0;0.718;0.465;4.0;enero
JAMON IBERICO;7.99;2.273;0.111;2.134;0.0;0.0;0.0;0.0;1.509;0.565;0.0;0.0;0.068;0.053;5.541;1.039;4.719;4.092;0.58;0.0;0.018;0.041;0.0;0.112;0.075;0.2;3.0;enero
JAMON IBE.ENTER/PI;1.484;0.301;0.0;0.301;0.0;0.0;0.0;0.0;0.282;0.019;0.0;0.0;0.0;0.0;1.054;0.202;0.845;0.845;0.0;0.0;0.018;0.0;0.0;0.043;0.0;0.04;4.0;enero
JAMON IBE.LONCHA;7.117;2.105;0.111;1.967;0.0;0.0;0.0;0.0;1.361;0.545;0.0;0.0;0.068;0.053;4.929;0.919;4.21;3.585;0.58;0.0;0.0;0.041;0.0;0.07;0.075;0.171;4.0;enero
PALETA CURADA NORM.;3.643;0.535;0.0;0.535;0.0;0.0;0.0;0.0;0.313;0.164;0.0;0.015;0.0;0.058;3.062;0.405;2.679;1.995;0.702;0.0;0.0;0.0;0.0;0.0;0.047;0.044;3.0;enero
PALETA C.N.ENTR/PI;0.337;0.134;0.0;0.134;0.0;0.0;0.0;0.0;0.076;0.042;0.0;0.015;0.0;0.0;0.183;0.007;0.175;0.152;0.022;0.0;0.0;0.0;0.0;0.0;0.017;0.0;4.0;enero
PALETA C.N.LONCHA;3.348;0.405;0.0;0.405;0.0;0.0;0.0;0.0;0.239;0.121;0.0;0.0;0.0;0.058;2.895;0.398;2.517;1.852;0.683;0.0;0.0;0.0;0.0;0.0;0.03;0.044;4.0;enero
PALETA IBERICA;2.79;0.343;0.046;0.294;0.0;0.0;0.0;0.0;0.294;0.0;0.0;0.0;0.0;0.0;2.364;0.577;1.87;1.47;0.396;0.0;0.0;0.0;0.0;0.0;0.038;0.088;3.0;enero
PALETA IB.ENTER/PI;0.119;0.068;0.0;0.068;0.0;0.0;0.0;0.0;0.068;0.0;0.0;0.0;0.0;0.0;0.05;0.035;0.016;0.011;0.005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;2.682;0.286;0.046;0.238;0.0;0.0;0.0;0.0;0.238;0.0;0.0;0.0;0.0;0.0;2.309;0.541;1.852;1.457;0.391;0.0;0.0;0.0;0.0;0.0;0.038;0.088;4.0;enero
HUESOS JAMON CURADO;2.213;0.635;0.025;0.61;0.0;0.0;0.0;0.0;0.511;0.099;0.0;0.0;0.0;0.0;1.559;0.06;1.51;1.51;0.0;0.0;0.0;0.0;0.0;0.0;0.043;0.016;3.0;enero
LOMO EMBUCHADO N+IB;14.834;2.035;0.094;1.939;0.0;0.0;0.0;0.0;1.529;0.355;0.0;0.015;0.0;0.04;12.7;1.314;11.621;9.738;2.083;0.027;0.0;0.047;0.0;0.037;0.27;0.288;3.0;enero
LOMO EMB.AL CORTE;4.155;1.569;0.035;1.535;0.0;0.0;0.0;0.0;1.163;0.338;0.0;0.015;0.0;0.023;2.593;0.371;2.22;2.109;0.114;0.0;0.0;0.0;0.0;0.017;0.044;0.22;4.0;enero
LOMO EMB.ENVASADO;11.403;0.54;0.063;0.491;0.0;0.0;0.0;0.0;0.414;0.06;0.0;0.0;0.0;0.016;10.589;0.991;9.734;7.937;1.992;0.027;0.0;0.047;0.0;0.036;0.239;0.134;4.0;enero
LOMO EMB.NORMAL;13.113;1.695;0.083;1.627;0.0;0.0;0.0;0.0;1.291;0.283;0.0;0.0;0.0;0.04;11.491;1.186;10.502;8.839;1.821;0.027;0.0;0.047;0.0;0.0;0.265;0.128;4.0;enero
LOMO E.N.AL CORTE;3.323;1.304;0.035;1.269;0.0;0.0;0.0;0.0;0.951;0.283;0.0;0.0;0.0;0.023;2.121;0.346;1.775;1.663;0.114;0.0;0.0;0.0;0.0;0.0;0.044;0.014;5.0;enero
LOMO E.N.ENVASADO;10.468;0.39;0.052;0.352;0.0;0.0;0.0;0.0;0.335;0.0;0.0;0.0;0.0;0.016;9.817;0.903;9.048;7.474;1.726;0.027;0.0;0.047;0.0;0.0;0.234;0.116;5.0;enero
LOMO EMB.IBERICO;2.334;0.713;0.012;0.7;0.0;0.0;0.0;0.0;0.547;0.137;0.0;0.015;0.0;0.0;1.544;0.128;1.423;1.105;0.331;0.0;0.0;0.0;0.0;0.037;0.004;0.195;4.0;enero
LOMO E.I.AL CORTE;1.139;0.561;0.0;0.561;0.0;0.0;0.0;0.0;0.468;0.078;0.0;0.015;0.0;0.0;0.511;0.037;0.477;0.477;0.0;0.0;0.0;0.0;0.0;0.017;0.0;0.205;5.0;enero
LOMO E.I.ENVASADO;1.202;0.151;0.012;0.138;0.0;0.0;0.0;0.0;0.079;0.06;0.0;0.0;0.0;0.0;1.012;0.088;0.927;0.625;0.331;0.0;0.0;0.0;0.0;0.036;0.004;0.02;5.0;enero
OTRAS SALAZONES;9.032;2.656;0.18;2.476;0.0;0.0;0.0;0.0;2.229;0.205;0.0;0.0;0.0;0.039;6.385;0.761;5.671;4.995;0.754;0.004;0.028;0.018;0.0;0.026;0.063;0.216;3.0;enero
