Alimentos;;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;+ 50 AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;NORESTE;LEVANTE;ANDALUCIA;CENTRO-SUR;CASTILLA Y LEON;NOROESTE;NORTE;T.CANARIAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;Nivel;Hoja
VINOS LICOROSOS;;17.383;16.918;16.895;18.614;17.014;17.325;18.845;9.525;14.358;14.46;20.992;12.139;11.577;19.941;22.928;21.366;17.464;19.917;16.524;15.66;19.881;11.641;31.509;16.035;10.079;11.187;9.602;11.71;10.072;16.725;17.427;15.987;23.246;7.335;13.058;9.527;14.521;22.425;18.4;19.737;14.459;23.617;4.0;VALOR
VINOS CON I.G.P.;;16.566;19.361;19.11;17.639;15.709;13.217;17.218;16.011;15.749;15.922;17.772;13.909;15.23;18.964;17.662;18.266;14.911;19.506;14.914;17.352;16.652;12.274;21.133;17.232;19.107;14.678;16.969;15.116;16.041;17.445;17.664;14.932;16.7;12.959;15.94;16.019;17.391;20.203;14.054;19.145;17.355;17.879;3.0;VALOR
OTROS VINOS DOP/IGP;;3.015;2.517;3.552;3.913;3.089;2.386;2.848;3.679;3.737;3.264;2.751;6.097;3.606;3.022;2.191;2.581;2.278;2.998;3.473;3.682;2.874;3.179;4.268;2.843;2.754;1.918;2.942;2.735;1.244;2.145;3.756;2.222;4.122;3.467;2.42;3.68;3.307;4.292;4.156;3.134;3.241;2.122;3.0;VALOR
V.DESALCOHOL.DOP/I;;0.434;0.506;0.113;1.069;0.225;0.063;0.382;1.133;0.333;0.534;0.334;0.838;0.234;0.617;0.411;0.51;0.503;0.471;0.178;0.589;0.486;0.33;0.692;0.493;0.297;0.096;0.218;1.074;0.04;0.06;0.526;0.375;0.845;0.375;0.0;1.134;0.137;0.107;0.236;0.743;1.131;0.308;4.0;VALOR
T.VINOS SIN DOP/IGP;;60.023;61.449;54.755;60.421;61.954;60.569;60.629;56.103;61.735;58.022;62.57;55.794;58.247;64.914;60.728;62.883;50.319;64.628;62.828;63.189;53.083;53.105;74.571;65.121;62.349;59.923;47.104;54.715;58.118;61.52;60.992;60.035;57.143;47.005;63.642;56.107;62.423;71.18;62.798;66.663;50.291;60.591;2.0;VALOR
NACIONAL;;57.408;58.001;52.029;57.977;59.963;58.215;57.859;54.311;59.555;55.763;59.612;54.154;55.989;62.706;57.077;59.974;47.693;61.787;60.252;60.883;48.66;51.07;72.192;63.013;60.312;58.945;44.721;52.112;56.766;59.398;57.992;57.769;54.089;44.675;60.996;54.315;59.708;68.214;59.874;65.021;47.896;57.336;3.0;VALOR
EXTRANJERO;;6.992;6.854;7.009;8.369;6.896;5.903;6.947;5.826;8.399;7.035;6.951;3.263;7.576;6.995;7.464;7.207;5.83;7.064;7.282;8.068;8.715;7.344;7.016;6.947;6.018;2.859;5.864;9.901;5.159;5.796;8.291;5.94;7.198;5.394;4.737;5.828;8.274;8.851;9.354;7.132;4.992;7.304;3.0;VALOR
OTROS VINOS;;2.889;3.414;2.702;3.876;2.316;2.649;3.31;2.067;1.883;2.324;3.672;1.951;1.99;3.195;4.389;3.786;2.332;3.855;3.235;3.001;4.989;2.659;5.052;3.48;1.214;3.119;2.144;0.176;4.243;4.29;1.992;3.319;3.207;1.767;3.366;2.067;4.334;3.674;1.165;3.712;1.526;4.682;3.0;VALOR
TINTO;;22.412;23.643;18.876;23.374;24.988;21.002;23.264;17.957;22.376;20.72;24.501;16.727;20.287;26.518;23.212;24.901;17.407;26.035;23.635;22.955;23.198;24.765;25.093;21.937;20.432;19.571;18.793;19.165;20.141;21.898;23.337;21.83;22.361;18.276;23.025;17.96;22.591;30.213;21.5;28.247;19.168;22.833;3.0;VALOR
BLANCO;;50.974;52.146;46.14;51.811;52.033;51.613;51.376;48.089;52.095;49.735;52.63;47.813;49.112;55.595;50.688;53.234;41.008;55.096;54.31;54.743;41.836;40.849;66.637;58.322;55.385;52.532;37.334;48.298;50.14;53.363;50.922;51.408;48.857;39.526;53.651;48.094;52.89;61.377;54.583;58.665;40.146;50.119;3.0;VALOR
