Alimentos;;T.ESPAÑA;CATALUÑA;ARAGÓN;ILLES BALEARS;COMUNITAT VALENCIANA;REGIÓN DE MURCIA;ANDALUCÍA;COMUNIDAD DE MADRID;CASTILLA - LA MANCHA;EXTREMADURA;CASTILLA Y LEÓN;GALICIA;PRINCIPADO DE ASTURIAS;CANTABRIA;PAIS VASCO;LA RIOJA;C. FORAL DE NAVARRA;CANARIAS;Nivel;Hoja
JAMON C.N.ENTER/PI;;216024.22;29603.309;9919.161499999998;2947.8362500000003;23947.792999999998;9356.655999999999;44366.266;23448.829700000002;17118.5154;2898.17425;14837.449;13109.1945;4589.439;615.267316;6814.8156;1166.25782;7595.591399999999;3689.6568399999996;4.0;VALOR
JAMON C.N.LONCHA;;703388.4500000001;103867.0;24285.398;17696.695;99548.83700000001;27698.82;117891.33600000001;87065.555;31705.099000000002;11031.489399999999;34652.365000000005;42738.667;18859.171000000002;5862.3051;31672.918;6267.563099999999;10140.9585;32404.267999999996;4.0;VALOR
JAMON IBERICO;;425243.43;96198.53199999999;5938.042300000002;7909.5267;33697.589;8463.4455;82469.56999999999;82116.295;13582.9564;8853.0152;15940.144;9359.4905;14279.015800000001;3489.1572800000004;20411.089;2131.186709;3990.14133;16414.2184;3.0;VALOR
JAMON IBE.ENTER/PI;;150090.392;28745.760800000004;2406.50441;649.3688599999999;12152.943545;2144.77059;38092.736300000004;27117.004200000003;5474.759367000001;5252.782637;6298.90445;4082.87186;9490.31567;278.44428;3062.2314100000003;1249.1728480000002;876.5528;2715.26297;4.0;VALOR
JAMON IBE.LONCHA;;275153.04;67452.777;3531.5378;7260.157899999999;21544.648;6318.675499999999;44376.842;54999.29000000001;8108.1966999999995;3600.232610000001;9641.2383;5276.6178;4788.700500000001;3210.71295;17348.858;882.013037;3113.58833;13698.955300000001;4.0;VALOR
PALETA CURADA NORM.;;62879.008;12176.444700000002;2051.2157799999995;536.66806;5389.1591;2190.52863;10075.6924;8508.082900000001;2529.2933700000003;850.961253;2244.8361;3094.4984;1638.2857300000003;571.7107199999999;6456.085899999999;827.279821;1489.744659;2248.5174;3.0;VALOR
PALETA C.N.ENTR/PI;;16010.4837;3068.8875580000004;471.238954;76.28633;1496.3158640000001;307.352729;2618.1907600000004;1208.766679;760.345329;59.05295999999999;157.81832;1941.4386399999999;1274.90798;212.50844;1372.66146;463.43614;0.0;521.27507;4.0;VALOR
PALETA C.N.LONCHA;;46868.522;9107.555900000001;1579.9768800000002;460.38169999999997;3892.8427999999994;1883.1758300000001;7457.5025;7299.3152;1768.9478500000002;791.908363;2087.0179000000003;1153.05987;363.37789399999997;359.202246;5083.4243;363.84357099999994;1489.744659;1727.24209;4.0;VALOR
PALETA IBERICA;;143403.884;45924.096999999994;1816.42076;5002.36232;6960.2480000000005;1951.844369;24003.6882;20828.6627;2878.094403;2821.65859;3232.96463;2812.67799;4051.02828;1609.860283;13220.9032;1864.47717;650.45554;3774.4582999999993;3.0;VALOR
PALETA IB.ENTER/PI;;42222.0298;18554.2871;881.3008399999999;153.059527;1978.032298;720.5657209999999;8041.270119999999;3877.3997409999997;2130.6315299999997;1439.4941800000001;533.0402310000001;674.36133;1204.54379;519.99222;1215.53773;245.4793;0.0;53.03635;4.0;VALOR
