Alimentos;;T.ESPAÑA;TIENDA TRADICIONAL;ECONOMATO/COOPERATIVA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;TIENDA CONGELADOS;HERBORISTERIAS;VENTA A DOMICILIO;FARMACIAS;PESCADERIAS;CARNICERIA/CHARCUT;MERCADILLOS/AMBULANTES;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;RESTO CANALES;E-COMMERCE;Nivel;Hoja
CARNE OVINO/CAPRINO;;48.019;18.231;0.051;7.936;32.323;31.132;2.126;0.029;0.024;0.043;0.009;0.106;15.681;0.101;3.048;0.0;0.084;0.033;0.071;0.437;0.59;2.183;1.227;3.0;VALOR
CORDERO;;45.205;16.786;0.053;7.013;30.436;29.285;1.914;0.029;0.024;0.033;0.009;0.106;14.605;0.067;2.555;0.0;0.076;0.033;0.071;0.282;0.529;1.903;1.261;4.0;VALOR
CABRITO;;8.248;2.921;0.012;1.381;3.992;3.761;0.211;0.0;0.0;0.01;0.0;0.0;2.344;0.0;0.773;0.0;0.007;0.0;0.0;0.237;0.186;0.305;0.084;4.0;VALOR
OTRO OVINO/CAPRINO;;2.918;1.241;0.0;0.321;1.235;1.214;0.023;0.0;0.0;0.0;0.0;0.0;0.998;0.047;0.205;0.0;0.025;0.0;0.0;0.044;0.025;0.087;0.055;4.0;VALOR
OVINO/CAPRINO ENTE;;8.017;2.906;0.0;1.018;3.563;3.145;0.469;0.0;0.007;0.015;0.009;0.01;2.442;0.0;0.457;0.0;0.039;0.0;0.0;0.429;0.502;0.46;0.163;4.0;VALOR
OVINO/CAPRINO PIEZ;;46.026;17.32;0.051;7.49;31.058;30.048;1.76;0.029;0.021;0.03;0.0;0.096;14.905;0.101;2.884;0.0;0.045;0.033;0.071;0.07;0.098;1.82;1.131;4.0;VALOR
CARNE CERDO;;96.734;45.141;0.997;35.513;91.255;86.577;47.206;0.858;0.199;0.361;0.0;0.099;40.816;0.985;7.349;0.026;0.419;0.137;1.144;0.947;1.51;9.387;6.115;3.0;VALOR
CARNE CERDO ADOBAD;;66.487;18.347;0.242;10.694;56.475;48.654;19.22;0.102;0.016;0.099;0.0;0.0;16.544;0.24;1.981;0.0;0.074;0.01;0.183;0.088;0.349;2.412;1.744;4.0;VALOR
CARN.CERDO IBERICO;;30.794;11.511;0.126;3.468;19.409;17.401;2.872;0.175;0.067;0.142;0.0;0.003;9.962;0.022;1.53;0.0;0.011;0.018;0.033;0.1;0.564;1.309;0.642;4.0;VALOR
CARNE DESPOJOS;;46.66;17.627;0.227;5.997;35.104;33.886;2.563;0.074;0.023;0.1;0.0;0.034;14.955;0.068;3.594;0.016;0.008;0.025;0.215;0.005;0.137;1.469;1.241;3.0;VALOR
DESPOJOS CERDO;;32.143;12.206;0.071;3.686;22.227;21.616;1.192;0.018;0.007;0.036;0.0;0.024;10.338;0.059;2.206;0.0;0.008;0.016;0.085;0.005;0.09;0.841;0.704;4.0;VALOR
DESPOJOS CORDERO;;8.3;4.658;0.05;0.775;3.559;3.529;0.029;0.0;0.009;0.0;0.0;0.0;3.681;0.02;1.094;0.0;0.0;0.0;0.009;0.0;0.0;0.096;0.083;4.0;VALOR
DESPOJOS POLLO;;22.165;4.294;0.069;1.808;18.155;17.535;0.962;0.015;0.0;0.011;0.0;0.01;3.451;0.0;0.786;0.0;0.0;0.0;0.034;0.0;0.044;0.244;0.505;4.0;VALOR
DESPOJOS TERNERA;;18.353;7.596;0.116;1.834;10.349;10.035;0.53;0.065;0.021;0.052;0.0;0.0;6.044;0.0;1.764;0.016;0.0;0.009;0.089;0.0;0.02;0.611;0.352;4.0;VALOR
DESPOJOS OT.PROCED;;5.054;1.095;0.0;0.546;3.437;3.147;0.294;0.0;0.009;0.0;0.0;0.0;0.846;0.0;0.263;0.0;0.0;0.0;0.089;0.0;0.0;0.094;0.12;4.0;VALOR
OTRAS CARNES FRESCA;;89.163;25.969;0.558;22.458;81.181;72.619;37.526;0.137;0.081;0.281;0.0;0.166;22.602;0.258;4.064;0.017;0.212;0.027;0.218;0.663;0.242;3.355;3.787;3.0;VALOR
AVESTRUZ;;1.33;0.147;0.0;0.078;0.896;0.649;0.264;0.0;0.0;0.0;0.0;0.0;0.106;0.0;0.038;0.0;0.0;0.0;0.0;0.0;0.0;0.188;0.0;4.0;VALOR
PAVO;;72.201;14.472;0.297;11.997;64.119;54.502;26.82;0.057;0.007;0.068;0.0;0.026;12.265;0.095;2.21;0.0;0.07;0.0;0.099;0.324;0.079;1.466;2.352;4.0;VALOR
OTRAS AVES;;34.574;6.47;0.164;4.978;26.491;21.357;7.805;0.027;0.003;0.011;0.0;0.102;5.251;0.096;1.083;0.0;0.111;0.0;0.0;0.347;0.079;0.492;0.894;2.0;VALOR
CARNE CABALLO;;5.125;3.281;0.012;0.282;1.768;1.651;0.116;0.0;0.0;0.069;0.0;0.0;2.842;0.026;0.73;0.0;0.0;0.0;0.022;0.0;0.026;0.152;0.018;4.0;VALOR
CARNE CONGELADA;;47.935;8.562;0.104;4.919;40.095;36.221;7.767;4.389;0.017;0.879;0.0;0.075;4.31;0.092;0.437;0.0;0.0;0.0;0.165;0.288;0.275;2.079;1.361;2.0;VALOR
C.CONG.POLLO;;34.163;4.605;0.059;3.553;28.825;25.352;5.695;3.109;0.0;0.427;0.0;0.044;1.374;0.052;0.147;0.0;0.0;0.0;0.043;0.04;0.121;1.111;0.848;3.0;VALOR
C.CONG.CERDO;;20.756;4.232;0.026;1.206;15.775;14.365;2.046;2.122;0.014;0.348;0.0;0.012;1.968;0.04;0.184;0.0;0.0;0.0;0.077;0.132;0.173;0.693;0.376;3.0;VALOR
C.CONG.VACA;;7.618;2.415;0.025;0.632;4.212;3.743;0.606;1.192;0.006;0.076;0.0;0.0;1.195;0.0;0.073;0.0;0.0;0.0;0.007;0.085;0.034;0.479;0.248;3.0;VALOR
RESTO CARNES CONG.;;15.974;2.642;0.034;0.593;12.463;11.463;1.318;1.36;0.0;0.305;0.0;0.028;1.143;0.0;0.026;0.0;0.0;0.0;0.063;0.079;0.043;0.524;0.46;3.0;VALOR
C.CONG.CABALLO;;0.145;0.067;0.0;0.0;0.079;0.079;0.0;0.0;0.0;0.0;0.0;0.0;0.067;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;VALOR
SALCHICHAS CONGELAD;;0.385;0.29;0.0;0.026;0.119;0.117;0.009;0.186;0.0;0.0;0.0;0.0;0.081;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008;0.028;3.0;VALOR
CARNE TRANSFORMADA;;99.613;39.609;2.187;56.971;98.338;96.326;66.984;0.662;0.792;0.566;0.08;0.482;33.232;2.934;6.752;0.115;1.169;0.722;2.892;0.91;2.218;18.763;10.501;2.0;VALOR
JAMON CURADO+PALETA;;91.938;19.845;0.685;32.303;85.005;78.084;38.427;0.214;0.109;0.337;0.036;0.15;16.27;0.978;3.24;0.01;0.386;0.245;0.883;0.164;0.904;7.527;4.484;3.0;VALOR
JAMON C.+P.ENTERO;;36.972;8.479;0.293;8.268;24.011;22.452;2.275;0.026;0.034;0.07;0.0;0.029;6.944;0.603;1.553;0.0;0.14;0.049;0.053;0.045;0.552;2.641;0.82;4.0;VALOR
JAMON C.+P.LONCHA;;90.109;17.127;0.497;29.518;83.459;75.95;37.938;0.197;0.085;0.269;0.036;0.121;13.732;0.532;2.739;0.01;0.269;0.196;0.847;0.115;0.456;5.949;4.202;4.0;VALOR
JAMON CURADO NORMAL;;88.367;15.601;0.524;27.143;81.178;73.577;35.261;0.143;0.129;0.265;0.036;0.029;12.6;0.945;2.459;0.01;0.304;0.083;0.469;0.083;0.356;4.394;3.719;3.0;VALOR
JAMON C.N.ENTER/PI;;29.434;6.354;0.207;5.787;19.525;18.367;1.57;0.01;0.034;0.065;0.0;0.029;5.071;0.605;1.197;0.0;0.106;0.049;0.034;0.009;0.173;1.304;0.577;4.0;VALOR
JAMON C.N.LONCHA;;86.271;13.252;0.401;24.915;79.585;71.423;34.865;0.139;0.087;0.202;0.036;0.0;10.647;0.492;1.945;0.01;0.219;0.033;0.456;0.074;0.219;3.528;3.47;4.0;VALOR
JAMON IBERICO;;38.604;8.51;0.137;8.328;27.49;24.137;4.904;0.089;0.006;0.035;0.0;0.121;6.767;0.083;1.6;0.0;0.072;0.117;0.381;0.08;0.569;2.607;0.995;3.0;VALOR
JAMON IBE.ENTER/PI;;10.793;3.226;0.061;2.366;4.889;4.73;0.216;0.025;0.0;0.0;0.0;0.0;2.743;0.011;0.509;0.0;0.032;0.0;0.022;0.036;0.352;1.013;0.215;4.0;VALOR
JAMON IBE.LONCHA;;34.933;7.184;0.083;6.883;25.623;22.325;4.764;0.063;0.006;0.035;0.0;0.121;5.409;0.072;1.512;0.0;0.06;0.117;0.364;0.042;0.2;1.783;0.859;4.0;VALOR
PALETA CURADA NORM.;;25.242;1.874;0.033;5.273;19.408;13.33;7.43;0.0;0.0;0.061;0.0;0.0;1.644;0.051;0.144;0.0;0.039;0.0;0.081;0.0;0.031;0.951;0.516;3.0;VALOR
PALETA C.N.ENTR/PI;;3.854;0.823;0.012;0.73;2.097;1.761;0.391;0.0;0.0;0.0;0.0;0.0;0.684;0.029;0.103;0.0;0.024;0.0;0.0;0.0;0.018;0.485;0.104;4.0;VALOR
PALETA C.N.LONCHA;;22.865;1.368;0.021;4.635;18.043;12.193;7.08;0.0;0.0;0.061;0.0;0.0;1.225;0.022;0.043;0.0;0.018;0.0;0.081;0.0;0.013;0.465;0.451;4.0;VALOR
PALETA IBERICA;;19.751;1.917;0.099;5.64;13.583;10.182;4.253;0.0;0.0;0.035;0.0;0.012;1.662;0.009;0.1;0.0;0.014;0.045;0.026;0.0;0.09;1.488;0.491;3.0;VALOR
PALETA IB.ENTER/PI;;3.516;0.576;0.04;0.85;2.027;1.738;0.291;0.0;0.0;0.011;0.0;0.0;0.576;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.029;0.217;0.048;4.0;VALOR
PALETA IBE.LONCHA;;17.504;1.441;0.06;4.985;12.222;8.962;4.019;0.0;0.0;0.024;0.0;0.012;1.183;0.009;0.1;0.0;0.014;0.045;0.026;0.0;0.062;1.285;0.444;4.0;VALOR
HUESOS JAMON CURADO;;18.826;5.361;0.0;0.873;13.536;13.197;0.581;0.0;0.018;0.0;0.0;0.0;4.172;0.176;1.05;0.0;0.0;0.0;0.039;0.118;0.059;0.209;0.505;3.0;VALOR
LOMO EMBUCHADO N+IB;;54.31;9.277;0.216;9.968;44.436;38.429;12.582;0.044;0.029;0.114;0.019;0.0;7.509;0.4;1.451;0.011;0.112;0.035;0.105;0.083;0.705;2.75;1.6;3.0;VALOR
LOMO EMB.AL CORTE;;19.593;7.351;0.063;2.443;11.257;10.919;0.64;0.015;0.0;0.097;0.019;0.0;6.093;0.286;1.14;0.0;0.079;0.012;0.022;0.04;0.093;0.655;0.465;4.0;VALOR
LOMO EMB.ENVASADO;;45.612;3.616;0.177;8.093;38.922;32.664;12.077;0.03;0.029;0.116;0.0;0.0;2.941;0.237;0.505;0.011;0.063;0.024;0.083;0.045;0.677;2.244;1.307;4.0;VALOR
LOMO EMB.NORMAL;;47.836;6.236;0.195;8.103;40.24;34.248;11.831;0.044;0.008;0.094;0.019;0.0;4.913;0.263;0.979;0.011;0.103;0.012;0.048;0.025;0.415;1.838;1.336;4.0;VALOR
LOMO E.N.AL CORTE;;14.859;4.898;0.064;2.003;8.903;8.623;0.556;0.015;0.0;0.097;0.019;0.0;4.012;0.278;0.696;0.0;0.058;0.012;0.022;0.01;0.067;0.416;0.417;5.0;VALOR
LOMO E.N.ENVASADO;;40.689;2.25;0.157;6.462;35.59;29.448;11.362;0.03;0.008;0.067;0.0;0.0;1.78;0.045;0.372;0.011;0.07;0.0;0.026;0.014;0.379;1.565;1.082;5.0;VALOR
LOMO EMB.IBERICO;;18.336;5.041;0.07;2.895;10.989;9.821;1.432;0.0;0.036;0.049;0.0;0.0;4.224;0.225;0.751;0.0;0.028;0.024;0.057;0.059;0.348;1.124;0.344;4.0;VALOR
LOMO E.I.AL CORTE;;8.728;3.943;0.032;0.712;4.345;4.25;0.105;0.0;0.0;0.0;0.0;0.0;3.325;0.034;0.68;0.0;0.021;0.0;0.0;0.029;0.021;0.326;0.048;5.0;VALOR
LOMO E.I.ENVASADO;;11.787;1.947;0.041;2.301;7.558;6.502;1.363;0.0;0.036;0.049;0.0;0.0;1.559;0.212;0.194;0.0;0.01;0.024;0.057;0.03;0.36;0.846;0.304;5.0;VALOR
OTRAS SALAZONES;;53.083;14.724;0.178;7.533;41.863;35.455;11.956;0.14;0.028;0.164;0.0;0.0;12.946;0.199;1.775;0.011;0.011;0.036;0.097;0.067;0.186;1.555;0.949;3.0;VALOR
O.SALAZONES AL COR;;25.473;13.589;0.101;2.107;11.883;10.925;1.132;0.064;0.0;0.071;0.0;0.0;11.975;0.172;1.654;0.0;0.011;0.036;0.058;0.042;0.172;0.72;0.392;4.0;VALOR
O.SALAZONES ENVASA;;40.774;2.248;0.1;6.035;36.278;29.776;11.257;0.076;0.028;0.095;0.0;0.0;1.846;0.024;0.202;0.011;0.0;0.0;0.034;0.025;0.076;0.894;0.647;4.0;VALOR
TOCINO Y MANTECA;;62.586;9.392;0.505;14.438;54.082;48.085;18.808;0.031;0.244;0.113;0.019;0.01;6.658;0.328;1.655;0.012;0.094;0.033;0.296;0.022;0.457;3.531;2.279;3.0;VALOR
TOCINO;;11.836;5.819;0.063;0.998;5.995;5.949;0.248;0.0;0.0;0.081;0.0;0.0;4.507;0.095;1.072;0.0;0.0;0.0;0.096;0.022;0.152;0.446;0.259;4.0;VALOR
CHORIZOS;;80.167;18.753;0.693;24.052;70.508;62.936;27.882;0.101;0.03;0.221;0.0;0.125;15.206;1.466;2.747;0.017;0.403;0.135;0.832;0.462;0.906;6.142;3.395;3.0;VALOR
CHOR.IBERICO;;33.348;6.766;0.149;5.819;23.402;20.243;4.525;0.0;0.006;0.033;0.0;0.01;5.476;0.364;1.034;0.013;0.128;0.047;0.144;0.167;0.341;3.032;0.681;4.0;VALOR
CHOR.NORMAL;;76.406;16.074;0.584;22.281;67.037;59.268;26.528;0.101;0.036;0.184;0.0;0.113;13.047;1.239;2.293;0.01;0.382;0.091;0.702;0.282;0.683;3.781;3.017;4.0;VALOR
CHORIZO DE PAVO;;5.933;0.641;0.079;0.898;4.546;4.451;0.192;0.0;0.0;0.0;0.0;0.0;0.586;0.091;0.036;0.0;0.0;0.0;0.0;0.0;0.0;0.16;0.157;4.0;VALOR
CHORIZO DE CERDO;;79.336;18.186;0.685;23.808;69.618;61.894;27.768;0.101;0.03;0.221;0.0;0.113;14.787;1.436;2.656;0.017;0.314;0.135;0.825;0.454;0.892;5.908;3.394;4.0;VALOR
SALCHICHON/SALAMI;;64.189;10.2;0.373;14.898;55.026;46.816;20.838;0.09;0.054;0.111;0.0;0.025;7.981;0.607;1.406;0.03;0.201;0.06;0.31;0.043;0.549;5.123;1.729;3.0;VALOR
SALCHICHON DE PAVO;;7.39;0.856;0.0;1.058;6.073;4.864;1.441;0.0;0.0;0.015;0.0;0.0;0.656;0.0;0.084;0.0;0.0;0.0;0.011;0.0;0.021;0.16;0.154;4.0;VALOR
SALCHICHON DE CERD;;62.604;9.89;0.373;14.414;53.35;45.323;20.144;0.09;0.054;0.113;0.0;0.025;7.699;0.607;1.373;0.03;0.201;0.06;0.317;0.043;0.531;4.863;1.689;4.0;VALOR
FUET/LONGANIZAS;;68.994;8.896;0.418;18.779;62.366;54.129;24.965;0.0;0.081;0.098;0.0;0.0;6.853;0.621;1.388;0.026;0.064;0.016;0.306;0.096;0.345;3.293;2.511;3.0;VALOR
FUET/LONGANIZ.PAVO;;10.217;0.48;0.02;1.629;8.447;6.676;2.19;0.0;0.007;0.0;0.0;0.0;0.31;0.0;0.193;0.0;0.0;0.0;0.0;0.0;0.0;0.162;0.26;4.0;VALOR
FUET/LONGANIZ.CERD;;67.323;8.593;0.415;18.305;60.607;52.413;24.225;0.0;0.073;0.098;0.0;0.0;6.595;0.621;1.338;0.026;0.064;0.016;0.306;0.096;0.345;3.189;2.41;4.0;VALOR
OTROS PROD.CURADOS;;59.663;13.245;0.346;13.404;48.814;41.96;14.711;0.069;0.04;0.149;0.021;0.174;10.372;0.73;1.999;0.028;0.337;0.053;0.171;0.102;0.433;2.716;1.191;3.0;VALOR
O.PROD.CURAD.CORTE;;26.372;10.438;0.208;4.305;15.54;14.787;1.257;0.057;0.0;0.07;0.0;0.168;8.206;0.521;1.803;0.028;0.155;0.033;0.057;0.021;0.162;0.912;0.374;4.0;VALOR
O.PROD.CURAD.ENVAS;;48.719;5.135;0.254;10.516;41.194;33.797;13.883;0.019;0.04;0.082;0.021;0.007;3.791;0.316;0.519;0.0;0.192;0.019;0.116;0.073;0.311;2.007;0.99;4.0;VALOR
SALCHICHAS;;69.955;2.924;0.409;21.074;64.054;56.017;27.24;0.172;0.135;0.054;0.0;0.0;2.206;0.015;0.187;0.0;0.049;0.134;0.114;0.011;0.038;2.73;3.215;3.0;VALOR
JAMON COCIDO;;83.026;13.569;0.384;26.685;75.71;67.372;32.785;0.169;0.118;0.109;0.031;0.19;10.464;0.361;1.939;0.074;0.36;0.0;0.388;0.032;0.101;3.296;3.67;3.0;VALOR
J.COC.SIN/BAJO SAL;;13.017;1.255;0.033;1.715;10.632;6.588;4.292;0.015;0.0;0.0;0.0;0.034;0.918;0.0;0.157;0.0;0.023;0.0;0.031;0.0;0.0;0.142;0.203;4.0;VALOR
PALETA COCIDA;;8.515;1.879;0.012;1.415;5.958;5.397;0.601;0.0;0.0;0.0;0.0;0.0;1.65;0.0;0.247;0.0;0.031;0.0;0.031;0.0;0.0;0.328;0.139;3.0;VALOR
FIAMBRES;;92.654;16.103;0.739;34.336;87.496;80.854;43.74;0.214;0.12;0.108;0.025;0.161;12.971;0.604;2.402;0.019;0.31;0.048;0.432;0.097;0.422;4.962;5.295;3.0;VALOR
PAVO;;79.643;8.473;0.358;24.789;73.096;64.019;33.987;0.13;0.054;0.029;0.025;0.012;6.284;0.222;1.358;0.011;0.214;0.02;0.292;0.024;0.255;3.099;3.868;4.0;VALOR
POLLO;;28.901;1.158;0.04;6.996;23.294;16.429;9.131;0.0;0.013;0.02;0.0;0.0;0.745;0.024;0.137;0.01;0.035;0.0;0.041;0.006;0.0;0.521;0.664;4.0;VALOR
PROD.A BASE SANGRE;;28.245;9.222;0.149;6.119;17.734;15.349;3.67;0.011;0.0;0.105;0.0;0.0;7.389;0.613;1.475;0.013;0.11;0.033;0.161;0.028;0.248;1.277;0.503;3.0;VALOR
MORCILLA;;27.402;8.708;0.149;6.076;17.132;14.765;3.653;0.011;0.0;0.105;0.0;0.0;7.041;0.613;1.378;0.013;0.11;0.033;0.065;0.028;0.248;1.225;0.502;4.0;VALOR
FOIE-GRAS Y PATES;;63.608;5.417;0.491;17.845;54.627;47.195;18.867;0.0;0.184;0.095;0.0;0.019;4.146;0.0;0.814;0.0;0.028;0.009;0.145;0.0;0.142;4.744;2.388;3.0;VALOR
COCIDOS Y OTROS;;70.655;7.926;0.187;17.968;63.608;54.813;26.831;0.049;0.124;0.166;0.012;0.105;5.907;0.195;1.108;0.014;0.03;0.032;0.218;0.0;0.137;1.988;3.056;3.0;VALOR
COCIDOS Y O. CORTE;;19.097;6.528;0.039;3.075;11.545;11.012;0.769;0.029;0.0;0.033;0.012;0.105;5.025;0.195;0.993;0.0;0.034;0.029;0.093;0.0;0.039;0.528;0.238;4.0;VALOR
COCIDOS Y O.ENVASA;;65.806;2.12;0.162;16.313;60.44;51.022;26.585;0.02;0.124;0.13;0.0;0.0;1.326;0.0;0.215;0.014;0.005;0.005;0.129;0.0;0.099;1.531;2.942;4.0;VALOR
COCIDOS DE PAVO;;8.778;2.273;0.025;1.652;5.033;4.709;0.34;0.0;0.0;0.068;0.0;0.0;1.814;0.0;0.386;0.0;0.004;0.0;0.0;0.0;0.0;0.2;0.203;4.0;VALOR
COCIDOS DE CERDO;;68.447;6.114;0.175;17.131;62.075;53.029;26.628;0.049;0.124;0.098;0.0;0.105;4.625;0.195;0.682;0.014;0.026;0.032;0.218;0.0;0.117;1.85;2.949;4.0;VALOR
TOTAL PESCA;;99.364;45.396;1.776;58.208;97.809;95.501;64.442;17.554;0.426;2.836;0.036;26.055;4.827;2.866;12.769;0.028;1.141;0.431;3.459;0.606;1.145;17.211;10.713;1.0;VALOR
PESCADOS;;96.056;39.179;0.636;34.992;91.064;85.962;42.245;13.021;0.087;2.168;0.028;24.632;1.53;0.734;10.322;0.035;0.632;0.162;1.511;0.519;0.671;7.697;6.801;2.0;VALOR
PESCADOS FRESCOS;;88.727;31.243;0.445;27.069;80.409;74.747;27.035;1.555;0.07;0.976;0.028;24.216;1.064;0.748;9.829;0.013;0.553;0.127;1.179;0.475;0.534;4.837;4.434;3.0;VALOR
PESCADOS CONGELADOS;;83.973;19.155;0.334;18.429;76.024;67.69;31.389;12.882;0.028;1.637;0.0;5.06;0.555;0.154;2.308;0.021;0.083;0.039;0.401;0.081;0.223;4.163;4.156;3.0;VALOR
MERLUZA/PESCAD;;78.03;24.486;0.211;16.341;64.712;56.945;21.419;7.071;0.035;1.306;0.0;14.205;0.402;0.157;5.793;0.0;0.195;0.003;0.655;0.039;0.307;2.17;3.122;3.0;VALOR
MERLUZA/PESCAD.FRE;;51.197;18.153;0.126;9.548;36.518;33.54;5.122;0.198;0.035;0.614;0.0;13.756;0.177;0.052;5.559;0.0;0.135;0.0;0.262;0.03;0.046;1.106;1.212;4.0;VALOR
MERLUZA/PESCAD.CON;;57.566;9.473;0.131;9.21;48.745;39.988;18.414;7.026;0.0;1.1;0.0;1.401;0.225;0.105;0.626;0.0;0.06;0.003;0.39;0.035;0.261;1.272;2.344;4.0;VALOR
SARDINA/BOQUERON;;59.058;21.162;0.35;10.808;44.44;42.119;4.754;1.299;0.022;0.537;0.0;15.995;0.399;0.147;5.865;0.0;0.15;0.056;0.468;0.16;0.04;1.78;1.33;3.0;VALOR
