Alimentos;;T.ESPAÑA;CATALUÑA;ARAGÓN;ILLES BALEARS;COMUNITAT VALENCIANA;REGIÓN DE MURCIA;ANDALUCÍA;COMUNIDAD DE MADRID;CASTILLA - LA MANCHA;EXTREMADURA;CASTILLA Y LEÓN;GALICIA;PRINCIPADO DE ASTURIAS;CANTABRIA;PAIS VASCO;LA RIOJA;C. FORAL DE NAVARRA;CANARIAS;Nivel;Hoja
TERNERA;;130238.425;25515.118;3809.2563999999998;3097.9737;12197.364900000002;2919.7126000000003;13945.518300000002;19417.896999999997;4974.6368999999995;1815.68072;10066.787900000001;12399.226600000002;4644.8615;1496.7700399999999;8267.341299999998;790.1994199999999;2259.0786;2621.0149;4.0;VALOR
AÑOJO;;39150.555;3387.7384;833.53775;525.04434;3841.7009;714.89022;5153.8975;9915.3258;1567.34025;451.0020799999999;1942.0634999999997;840.6554600000002;466.4593899999999;794.1209600000001;3678.8436;207.585104;447.83518999999995;4382.5127999999995;4.0;VALOR
MAYOR;;10305.5291;1545.4477;333.36122;289.410056;848.8768600000001;196.00013199999998;1056.96995;1933.5301999999997;362.33229;144.458526;634.6383799999999;282.01661000000007;170.401906;116.729543;1381.97528;78.21416400000001;224.90916300000004;706.257;4.0;VALOR
CARNE POLLO;;502799.75000000006;80669.64;15707.803;11857.386600000002;60664.435;16512.811;90143.695;67211.16600000001;25334.584;10409.5418;29848.755;27609.205;10976.624399999999;4899.758799999999;26409.746;3475.648;6845.0665;14223.899;3.0;VALOR
POLLO ENTERO;;117489.59500000003;18978.731999999996;4019.5220999999997;2621.3361499999996;16325.974;5082.9512;19913.321000000004;11520.584900000002;7010.0686;1918.6636999999998;7243.618200000001;9078.3657;1553.0998799999998;993.2266199999999;5378.094599999999;742.89209;2009.5170499999997;3099.6301000000003;4.0;VALOR
POLLO FILETES;;71464.755;11265.947600000001;2323.3201;1510.3651899999998;6972.8330000000005;2045.3854000000001;12352.9545;11775.253499999999;2941.6307;1474.24985;3851.2539;3142.9417;2327.829;732.1122600000001;3941.2192999999997;465.1618;870.39539;3471.8978;4.0;VALOR
POLLO POR PIEZAS;;313845.39;50424.958;9364.9608;7725.6846;37365.629;9384.4729;57877.422000000006;43915.324;15382.883;7016.628599999999;18753.884;15387.897;7095.695599999999;3174.4197999999997;17090.431;2267.594;3965.1536999999994;7652.3701;4.0;VALOR
CARNE CONEJO;;30596.519999999997;6527.041;1374.97128;663.19875;4615.5456;941.50247;2990.2012;3046.387;1024.63923;435.676;1961.6104;2310.5331;417.66476;250.159869;2141.4554;390.03147999999993;682.6848799999999;823.21674;3.0;VALOR
CARNE OVINO/CAPRINO;;41550.682;7743.828699999999;2612.3196000000003;818.17771;4334.539900000001;1374.6038500000002;3583.0674000000004;5685.1167000000005;2798.8419000000004;849.55591;3787.1623000000004;2466.3235000000004;876.1334250000001;304.37060899999994;2790.74679;545.111653;728.3488299999999;252.433381;3.0;VALOR
CORDERO;;36376.42999999999;6641.973900000001;2436.4523;768.0675500000001;4077.9782000000005;1256.60619;3194.3084;5258.019;2520.0914999999995;629.208942;3127.2931000000003;1630.9596199999999;775.442195;276.91040899999996;2467.55116;478.999843;667.67312;168.8936;4.0;VALOR
CABRITO;;4007.1555000000003;1008.7614300000001;73.278116;44.925658;160.382644;104.75409000000002;327.990049;322.474875;196.66913499999998;202.855384;222.85299500000002;816.790972;71.383279;21.53574;263.511117;53.823316000000005;40.290741999999995;74.876097;4.0;VALOR
OTRO OVINO/CAPRINO;;1167.0966300000002;93.09290200000001;102.589022;5.18449;96.179008;13.243641;60.768935;104.62262900000002;82.081352;17.491703;437.01620999999994;18.572805;29.307924999999997;5.924465;59.684422000000005;12.288540000000001;20.384973;8.663691;4.0;VALOR
OVINO/CAPRINO ENTE;;10451.1086;1202.79746;379.66218000000003;114.72193000000001;456.67340299999995;320.13403400000004;534.64706;1494.2210000000002;963.8011700000002;370.41846999999996;1603.9687800000002;1517.39573;170.537585;102.87008999999999;894.66566;175.18839;141.335838;8.069225;4.0;VALOR
OVINO/CAPRINO PIEZ;;31099.575999999997;6541.0315;2232.6574;703.4558;3877.8662999999997;1054.46978;3048.4204;4190.8958;1835.0405600000001;479.13751;2183.19358;948.9277;705.59583;201.50051899999997;1896.0809399999998;369.923293;587.0129799999999;244.36415999999997;4.0;VALOR
CARNE CERDO;;405423.02;67599.59999999999;12426.9813;9152.592499999999;43946.536;11860.3151;72318.34700000001;46837.888999999996;21417.042999999998;9033.2073;29135.577000000005;29201.478000000003;9233.0676;3541.2391;19292.903;2810.4765;5627.8753;11987.893299999998;3.0;VALOR
CARNE CERDO ADOBAD;;35995.892;3919.321;911.5172699999999;431.86152999999996;3157.3783000000008;795.2601800000001;4181.8586000000005;7906.029599999999;2096.675;626.1786099999999;4344.1559;1854.0709200000001;761.66887;559.45504;2695.594;291.72483;430.85802;1032.28251;4.0;VALOR
CARN.CERDO IBERICO;;15153.262499999999;2648.0535;318.25367;110.59586399999999;936.6815799999999;323.43655999999993;5205.071100000001;1581.23821;514.6603399999999;595.42635;910.0188;572.001;261.79963399999997;171.60700600000004;515.98681;50.867948000000005;128.779969;308.783897;4.0;VALOR
CARNE DESPOJOS;;28822.412;6091.081;834.4734099999998;641.01002;3588.9496;901.19957;4033.573;2915.8024999999993;1562.0832099999998;500.83951;2936.7439999999997;1368.4931299999996;712.32967;315.22348000000005;1446.1701699999999;283.48427799999996;318.467308;372.48756;3.0;VALOR
DESPOJOS CERDO;;13636.133000000002;3218.1297;446.33008;290.27509;1376.2182200000002;393.72774000000004;2190.8099500000003;1077.7653599999999;822.3884799999998;257.8343;1626.033;661.7397669999999;224.0195;136.26313399999998;541.284;161.38612999999998;164.339113;47.590515999999994;4.0;VALOR
DESPOJOS CORDERO;;1726.7397999999998;308.633585;134.69841599999998;51.035238;185.078474;78.932053;100.684823;308.78749;117.09850800000002;23.98412;196.24049200000002;8.852624;7.693403000000001;27.276780000000002;79.65962;46.593044;50.292798000000005;1.198549;4.0;VALOR
DESPOJOS POLLO;;7057.847000000001;1408.8631800000003;138.068601;175.137326;1506.22865;284.515756;1206.41114;638.05071;399.72963;139.295793;314.28852;236.22978000000003;169.737442;18.281962;212.81171899999995;21.900284000000003;25.179412000000003;163.11693;4.0;VALOR
DESPOJOS TERNERA;;5407.8246;918.13718;90.69484899999999;81.14654;336.78596600000003;117.941856;426.35835000000003;776.17238;196.29277;70.185939;743.9412900000001;436.01039000000003;303.890327;116.76088699999998;562.14177;47.575077;76.61558799999999;107.173353;4.0;VALOR
DESPOJOS OT.PROCED;;993.86512;237.31736399999997;24.681443;43.415800999999995;184.63801800000002;26.082129;109.308515;115.026521;26.573976;9.539344;56.240489;25.660488;6.989034999999999;16.640723;50.272925;6.029745;2.040394;53.40818700000001;4.0;VALOR
OTRAS CARNES FRESCA;;115719.323;19758.982;3981.4481;2788.0353;14378.4307;3075.9757000000004;18370.831;14794.3294;5146.0452000000005;2137.9359;6967.0731;5963.6373;2457.8553;1106.2580099999998;7669.201400000001;961.8624400000001;2257.9717000000005;3903.4432999999995;3.0;VALOR
AVESTRUZ;;123.45943300000002;15.245465;21.595380000000002;0.0;10.132836;13.607797000000001;39.049999;4.966047;4.4105240000000006;0.0;4.863833;2.422724;2.50551;0.0;4.104002;0.55532;0.0;0.0;4.0;VALOR
