Alimentos;;T.ESPAÑA;CATALUÑA;ARAGÓN;ILLES BALEARS;COMUNITAT VALENCIANA;REGIÓN DE MURCIA;ANDALUCÍA;COMUNIDAD DE MADRID;CASTILLA - LA MANCHA;EXTREMADURA;CASTILLA Y LEÓN;GALICIA;PRINCIPADO DE ASTURIAS;CANTABRIA;PAIS VASCO;LA RIOJA;C. FORAL DE NAVARRA;CANARIAS;Nivel;Hoja
AGUA DE BEB.CON GAS;;20.651;36.455;15.599;29.1;27.078;22.016;13.608;17.946;13.536;3.973;10.052;16.98;12.67;5.9;12.112;20.015;17.227;34.319;2.0;VALOR
AGUA DE BEB.SIN GAS;;81.711;87.066;82.121;86.21;87.262;87.214;83.237;70.786;87.988;84.024;83.467;82.236;75.354;75.918;63.38;83.975;72.839;89.821;2.0;VALOR
GASEOSAS Y BEBID.REFR;;94.55;94.4;94.385;96.974;94.781;95.991;95.369;95.682;97.667;95.443;91.496;93.901;89.21;95.867;90.028;91.886;92.636;94.961;1.0;VALOR
GASEOSAS;;25.406;21.477;30.36;23.884;27.209;34.455;28.735;25.57;31.879;16.996;25.283;30.224;32.187;20.432;13.641;22.377;22.38;18.389;2.0;VALOR
BEBIDAS REFRESCANTES;;93.93;93.763;94.259;97.008;94.405;94.118;94.96;95.127;97.308;94.503;91.332;91.88;89.271;95.403;89.602;88.487;90.399;94.531;2.0;VALOR
BEB.REFRESC.NARANJA;;47.595;46.275;46.312;49.233;46.543;51.56;51.936;48.937;59.909;57.994;48.659;43.926;41.121;41.624;36.261;49.524;27.626;42.306;3.0;VALOR
BEB.REFRESC.LIMON;;46.152;51.459;37.52;49.777;45.103;47.17;53.089;46.771;54.608;51.81;43.795;39.365;29.889;34.049;28.47;34.145;23.946;45.807;3.0;VALOR
BEB.REFRESC.COLA;;78.593;79.92;70.629;79.17;80.074;81.373;81.258;81.314;85.737;72.581;74.208;73.457;79.084;86.094;70.669;67.472;60.705;75.902;3.0;VALOR
COLA NORMAL;;48.675;52.231;44.275;55.839;46.865;49.354;51.108;46.514;54.806;45.162;47.583;51.512;46.286;47.537;43.468;38.006;31.062;45.161;4.0;VALOR
COLA LIGHT;;48.865;52.33;47.399;45.161;50.073;47.843;49.957;56.52;55.242;41.464;40.122;38.042;40.09;58.713;36.523;32.961;32.762;55.292;4.0;VALOR
COLA SIN CAFEINA;;5.75;6.073;4.827;8.306;5.499;7.095;5.809;5.037;6.951;10.678;4.37;8.082;7.859;17.142;3.563;4.714;4.918;2.605;4.0;VALOR
COLA LIGHT S/CAFE.;;31.033;27.575;28.816;29.068;30.954;30.036;34.972;31.799;39.839;37.498;28.514;28.087;35.683;32.526;32.126;17.719;30.542;22.574;4.0;VALOR
BEB.REFRESC.TONICA;;29.876;35.608;30.091;37.084;32.057;34.738;33.205;28.707;25.02;20.415;19.254;30.36;24.21;24.4;24.793;16.546;24.913;24.651;3.0;VALOR
BEB.REF.TE/CAFE;;43.608;41.152;40.495;50.421;42.169;43.992;49.723;47.104;48.302;50.797;38.043;42.78;29.256;35.528;29.048;48.031;33.327;48.958;3.0;VALOR
BEB.REF.ISOTONICAS;;48.71;49.821;51.575;53.813;47.973;47.277;49.548;51.907;54.309;51.716;42.243;54.286;43.39;41.758;35.852;45.796;40.629;48.207;3.0;VALOR
