Alimentos;;T.ESPAÑA;TIENDA TRADICIONAL;ECONOMATO/COOPERATIVA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;TIENDA CONGELADOS;HERBORISTERIAS;VENTA A DOMICILIO;FARMACIAS;PESCADERIAS;CARNICERIA/CHARCUT;MERCADILLOS/AMBULANTES;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;RESTO CANALES;E-COMMERCE;Nivel;Hoja
OTRO OVINO/CAPRINO;;2.701;1.688;0.0;0.193;0.945;0.681;0.248;0.0;0.0;0.0;0.0;0.0;1.331;0.0;0.338;0.0;0.0;0.0;0.009;0.0;0.007;0.0;0.0;4.0;VALOR
OVINO/CAPRINO ENTE;;9.333;4.127;0.009;0.838;4.034;3.675;0.39;0.0;0.007;0.0;0.098;0.0;3.538;0.0;0.562;0.0;0.0;0.0;0.0;0.443;0.573;0.327;0.112;4.0;VALOR
OVINO/CAPRINO PIEZ;;47.708;19.653;0.203;7.531;32.118;30.092;4.547;0.0;0.0;0.0;0.259;0.048;16.856;0.147;3.527;0.0;0.031;0.037;0.165;0.217;0.227;1.088;0.935;4.0;VALOR
CARNE CERDO;;96.696;47.198;0.919;36.2;90.857;85.736;47.8;0.506;0.07;0.0;2.126;0.155;43.078;0.895;7.092;0.151;0.361;0.163;1.105;1.01;1.282;8.591;6.973;3.0;VALOR
CARNE CERDO ADOBAD;;63.46;20.304;0.225;11.125;50.685;42.106;18.937;0.067;0.045;0.0;0.454;0.016;18.074;0.286;2.42;0.0;0.004;0.032;0.15;0.103;0.306;2.021;1.708;4.0;VALOR
CARN.CERDO IBERICO;;31.038;12.086;0.09;3.625;19.798;17.151;3.973;0.032;0.0;0.0;0.09;0.031;10.496;0.06;1.648;0.0;0.01;0.0;0.089;0.212;0.268;1.118;0.498;4.0;VALOR
CARNE DESPOJOS;;45.513;19.246;0.095;6.134;31.846;30.801;2.167;0.104;0.006;0.0;0.186;0.018;16.331;0.35;3.617;0.0;0.108;0.012;0.202;0.056;0.116;1.4;1.065;3.0;VALOR
DESPOJOS CERDO;;31.121;12.856;0.097;3.435;20.314;19.617;1.273;0.049;0.0;0.0;0.157;0.0;10.972;0.115;2.108;0.0;0.065;0.012;0.147;0.056;0.107;0.706;0.678;4.0;VALOR
DESPOJOS CORDERO;;7.76;4.462;0.025;0.486;3.27;3.191;0.079;0.0;0.0;0.0;0.0;0.0;3.661;0.106;1.095;0.0;0.019;0.0;0.021;0.0;0.0;0.195;0.188;4.0;VALOR
DESPOJOS POLLO;;19.37;4.518;0.037;1.924;14.501;14.245;0.377;0.0;0.007;0.0;0.038;0.0;3.578;0.091;0.923;0.0;0.009;0.0;0.008;0.0;0.049;0.531;0.416;4.0;VALOR
DESPOJOS TERNERA;;18.905;8.545;0.04;2.102;10.401;10.15;0.464;0.0;0.007;0.0;0.0;0.018;7.17;0.024;1.459;0.0;0.028;0.0;0.035;0.005;0.035;0.441;0.335;4.0;VALOR
DESPOJOS OT.PROCED;;5.842;1.683;0.0;0.747;3.476;3.137;0.361;0.052;0.0;0.0;0.0;0.0;1.393;0.0;0.24;0.0;0.0;0.0;0.0;0.0;0.0;0.015;0.117;4.0;VALOR
OTRAS CARNES FRESCA;;89.561;27.575;0.33;22.126;80.794;71.963;38.317;0.117;0.129;0.0;0.491;0.114;23.842;0.168;4.583;0.0;0.074;0.067;0.143;0.944;0.246;3.207;4.297;3.0;VALOR
AVESTRUZ;;0.856;0.129;0.0;0.02;0.698;0.678;0.02;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.029;0.0;0.0;0.0;0.0;0.0;0.0;0.007;0.0;4.0;VALOR
PAVO;;72.921;15.4;0.169;12.28;63.88;53.404;27.322;0.025;0.071;0.0;0.189;0.025;13.072;0.083;2.393;0.0;0.051;0.012;0.083;0.239;0.115;1.517;2.442;4.0;VALOR
OTRAS AVES;;34.994;8.054;0.125;4.927;26.339;20.662;8.265;0.0;0.01;0.0;0.079;0.0;6.252;0.009;1.885;0.0;0.017;0.0;0.0;0.785;0.076;0.532;0.829;2.0;VALOR
CARNE CABALLO;;5.083;3.348;0.0;0.407;1.243;1.165;0.111;0.0;0.0;0.0;0.175;0.0;2.856;0.021;0.669;0.0;0.0;0.0;0.0;0.007;0.0;0.033;0.007;4.0;VALOR
CARNE CONGELADA;;44.926;8.735;0.21;4.812;36.587;33.247;6.207;4.298;0.024;0.0;1.239;0.103;4.335;0.232;0.667;0.0;0.137;0.005;0.041;0.086;0.437;2.378;1.275;2.0;VALOR
C.CONG.POLLO;;29.515;5.212;0.152;3.414;23.533;20.928;4.202;3.387;0.028;0.0;0.681;0.046;1.738;0.199;0.431;0.0;0.098;0.005;0.028;0.062;0.308;0.938;0.711;3.0;VALOR
C.CONG.CERDO;;18.214;3.691;0.08;1.1;13.553;12.536;1.248;1.669;0.018;0.0;0.338;0.011;1.674;0.061;0.339;0.0;0.033;0.0;0.013;0.003;0.113;0.898;0.484;3.0;VALOR
C.CONG.VACA;;8.221;2.59;0.042;0.799;4.625;4.119;0.61;1.423;0.003;0.0;0.107;0.044;1.192;0.016;0.078;0.0;0.0;0.0;0.0;0.039;0.05;0.512;0.24;3.0;VALOR
RESTO CARNES CONG.;;16.704;2.767;0.013;0.924;13.216;12.058;1.433;1.773;0.0;0.0;0.179;0.013;0.784;0.053;0.167;0.0;0.0;0.0;0.0;0.021;0.112;0.795;0.151;3.0;VALOR
C.CONG.CABALLO;;0.1;0.014;0.0;0.0;0.078;0.069;0.008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014;0.0;0.0;0.0;0.0;0.0;0.0;0.007;0.0;4.0;VALOR
SALCHICHAS CONGELAD;;0.496;0.279;0.027;0.046;0.149;0.121;0.024;0.2;0.0;0.0;0.03;0.0;0.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.056;0.0;3.0;VALOR
CARNE TRANSFORMADA;;99.551;42.001;2.278;56.667;98.174;96.423;66.441;0.625;0.795;0.144;1.339;0.201;34.254;2.977;7.153;0.114;1.095;0.601;3.236;0.918;2.245;19.19;11.918;2.0;VALOR
JAMON CURADO+PALETA;;92.01;21.988;0.812;30.671;84.918;77.777;38.674;0.081;0.044;0.071;0.573;0.103;17.506;1.023;3.49;0.032;0.459;0.377;1.022;0.291;0.998;7.574;5.148;3.0;VALOR
JAMON C.+P.ENTERO;;38.39;10.385;0.178;7.223;25.175;23.449;2.35;0.013;0.02;0.0;0.174;0.0;8.484;0.449;1.694;0.018;0.07;0.115;0.126;0.073;0.669;2.739;0.831;4.0;VALOR
JAMON C.+P.LONCHA;;90.201;18.808;0.738;28.523;83.294;75.607;38.107;0.077;0.034;0.071;0.421;0.103;14.478;0.713;3.093;0.015;0.444;0.262;0.918;0.224;0.586;5.943;4.748;4.0;VALOR
JAMON CURADO NORMAL;;88.912;17.636;0.724;26.212;81.616;73.926;35.854;0.082;0.044;0.071;0.291;0.0;13.949;0.845;2.654;0.032;0.373;0.256;0.493;0.194;0.571;4.935;4.259;3.0;VALOR
JAMON C.N.ENTER/PI;;31.51;7.609;0.134;5.816;20.933;19.607;1.792;0.016;0.02;0.0;0.062;0.0;6.01;0.397;1.294;0.018;0.036;0.115;0.078;0.073;0.38;1.318;0.51;4.0;VALOR
JAMON C.N.LONCHA;;86.937;15.159;0.659;24.433;80.036;71.828;35.406;0.068;0.025;0.071;0.238;0.0;11.721;0.567;2.248;0.015;0.365;0.119;0.436;0.129;0.28;3.997;4.062;4.0;VALOR
JAMON IBERICO;;37.029;9.584;0.198;7.16;25.962;23.409;4.811;0.0;0.009;0.0;0.265;0.103;7.669;0.364;1.725;0.0;0.106;0.139;0.455;0.099;0.632;2.579;1.164;3.0;VALOR
JAMON IBE.ENTER/PI;;10.571;3.482;0.028;1.486;4.972;4.847;0.152;0.0;0.0;0.0;0.078;0.0;2.88;0.123;0.609;0.0;0.046;0.0;0.028;0.0;0.387;1.032;0.407;4.0;VALOR
JAMON IBE.LONCHA;;33.369;8.111;0.17;6.187;23.767;21.148;4.714;0.0;0.009;0.0;0.173;0.103;6.128;0.264;1.662;0.0;0.091;0.139;0.436;0.099;0.342;2.01;0.783;4.0;VALOR
PALETA CURADA NORM.;;23.279;2.549;0.055;4.378;18.164;12.09;7.336;0.015;0.0;0.0;0.042;0.0;2.101;0.125;0.503;0.0;0.017;0.0;0.118;0.0;0.049;0.518;0.396;3.0;VALOR
PALETA C.N.ENTR/PI;;3.782;1.321;0.018;0.591;1.867;1.509;0.41;0.015;0.0;0.0;0.008;0.0;1.06;0.023;0.233;0.0;0.017;0.0;0.032;0.0;0.0;0.31;0.045;4.0;VALOR
PALETA C.N.LONCHA;;20.961;1.517;0.036;3.981;16.934;11.096;6.996;0.0;0.0;0.0;0.034;0.0;1.297;0.104;0.271;0.0;0.0;0.0;0.094;0.0;0.049;0.211;0.363;4.0;VALOR
PALETA IBERICA;;17.502;2.718;0.059;4.481;11.524;9.103;3.36;0.013;0.0;0.0;0.087;0.0;2.144;0.0;0.316;0.0;0.011;0.0;0.117;0.0;0.081;1.494;0.468;3.0;VALOR
PALETA IB.ENTER/PI;;2.666;0.701;0.002;0.24;1.479;1.421;0.098;0.0;0.0;0.0;0.023;0.0;0.555;0.0;0.134;0.0;0.011;0.0;0.0;0.0;0.033;0.414;0.06;4.0;VALOR
PALETA IBE.LONCHA;;15.944;2.215;0.057;4.287;10.646;8.235;3.275;0.013;0.0;0.0;0.066;0.0;1.764;0.0;0.183;0.0;0.0;0.0;0.117;0.0;0.048;1.117;0.408;4.0;VALOR
HUESOS JAMON CURADO;;17.845;6.001;0.0;1.131;12.302;11.931;0.773;0.0;0.008;0.0;0.009;0.0;4.73;0.066;1.081;0.017;0.02;0.013;0.034;0.0;0.107;0.517;0.354;3.0;VALOR
LOMO EMBUCHADO N+IB;;54.723;10.125;0.209;10.337;44.4;39.211;12.66;0.026;0.026;0.004;0.211;0.0;8.156;0.177;1.762;0.0;0.107;0.037;0.178;0.242;0.524;3.372;1.449;3.0;VALOR
LOMO EMB.AL CORTE;;20.094;7.724;0.093;2.447;11.822;11.225;0.917;0.0;0.0;0.004;0.092;0.0;6.334;0.114;1.428;0.0;0.077;0.0;0.107;0.056;0.208;1.242;0.386;4.0;VALOR
LOMO EMB.ENVASADO;;45.347;4.288;0.153;8.568;38.746;33.198;11.979;0.026;0.026;0.0;0.135;0.0;3.523;0.146;0.666;0.0;0.028;0.037;0.074;0.171;0.484;2.453;1.2;4.0;VALOR
LOMO EMB.NORMAL;;49.226;7.048;0.187;8.803;41.27;36.181;11.723;0.026;0.011;0.004;0.122;0.0;5.491;0.132;1.202;0.0;0.088;0.0;0.126;0.143;0.232;1.801;1.294;4.0;VALOR
LOMO E.N.AL CORTE;;15.774;5.49;0.093;2.062;9.573;8.978;0.882;0.0;0.0;0.004;0.014;0.0;4.391;0.09;1.019;0.0;0.056;0.0;0.069;0.056;0.076;0.578;0.326;5.0;VALOR
LOMO E.N.ENVASADO;;41.609;2.546;0.132;7.308;36.472;31.223;11.049;0.026;0.011;0.0;0.121;0.0;2.07;0.138;0.433;0.0;0.028;0.0;0.059;0.073;0.183;1.425;1.095;5.0;VALOR
LOMO EMB.IBERICO;;16.777;5.088;0.026;2.868;9.483;8.234;1.77;0.0;0.015;0.0;0.091;0.0;4.158;0.132;0.894;0.0;0.046;0.037;0.054;0.099;0.371;1.9;0.188;4.0;VALOR
LOMO E.I.AL CORTE;;8.617;3.746;0.0;0.772;4.275;4.159;0.126;0.0;0.0;0.0;0.078;0.0;3.065;0.121;0.693;0.0;0.046;0.0;0.038;0.0;0.118;0.811;0.102;5.0;VALOR
LOMO E.I.ENVASADO;;10.247;2.212;0.026;2.158;6.174;4.877;1.679;0.0;0.015;0.0;0.009;0.0;1.895;0.072;0.275;0.0;0.0;0.037;0.016;0.099;0.304;1.173;0.121;5.0;VALOR
OTRAS SALAZONES;;49.281;16.582;0.273;6.952;36.488;32.564;7.163;0.051;0.021;0.0;0.099;0.0;14.443;0.112;1.991;0.0;0.005;0.012;0.161;0.047;0.287;1.324;0.872;3.0;VALOR
O.SALAZONES AL COR;;26.282;15.447;0.063;2.262;11.271;10.682;0.742;0.036;0.009;0.0;0.067;0.0;13.464;0.091;1.955;0.0;0.005;0.012;0.12;0.047;0.178;1.034;0.281;4.0;VALOR
O.SALAZONES ENVASA;;34.839;2.343;0.228;5.368;30.502;26.551;6.532;0.015;0.012;0.0;0.03;0.0;2.134;0.024;0.059;0.0;0.0;0.0;0.057;0.0;0.097;0.35;0.655;4.0;VALOR
TOCINO Y MANTECA;;62.031;8.939;0.311;14.957;53.709;47.368;18.11;0.005;0.33;0.0;0.091;0.01;6.152;0.639;1.796;0.023;0.162;0.091;0.348;0.033;0.167;3.242;2.53;3.0;VALOR
TOCINO;;11.044;4.477;0.018;1.115;6.132;5.892;0.423;0.0;0.0;0.0;0.0;0.01;3.215;0.224;0.932;0.0;0.061;0.0;0.125;0.033;0.012;0.412;0.147;4.0;VALOR
CHORIZOS;;80.231;19.124;0.835;23.198;70.978;63.5;29.123;0.244;0.121;0.078;0.358;0.008;15.15;1.098;2.66;0.0;0.135;0.042;1.003;0.286;1.104;5.737;3.468;3.0;VALOR
CHOR.IBERICO;;32.53;7.045;0.244;5.456;22.664;19.234;4.88;0.033;0.044;0.0;0.122;0.003;5.476;0.158;1.058;0.0;0.021;0.03;0.135;0.1;0.441;2.904;0.66;4.0;VALOR
CHOR.NORMAL;;76.697;16.284;0.716;21.416;67.582;60.199;27.396;0.207;0.088;0.078;0.245;0.005;12.816;1.02;2.19;0.0;0.129;0.012;0.905;0.201;0.781;3.519;3.099;4.0;VALOR
CHORIZO DE PAVO;;8.379;0.87;0.067;1.44;6.455;6.244;0.368;0.016;0.0;0.0;0.0;0.0;0.607;0.049;0.276;0.0;0.0;0.0;0.0;0.0;0.0;0.224;0.356;4.0;VALOR
CHORIZO DE CERDO;;79.273;18.615;0.81;22.847;70.063;62.273;28.999;0.169;0.121;0.078;0.358;0.008;14.832;1.084;2.463;0.0;0.112;0.042;1.003;0.286;1.075;5.572;3.365;4.0;VALOR
SALCHICHON/SALAMI;;64.233;11.077;0.464;14.621;54.395;47.131;20.346;0.057;0.082;0.027;0.251;0.04;8.443;0.717;1.544;0.016;0.119;0.05;0.321;0.087;0.479;4.752;2.142;3.0;VALOR
SALCHICHON DE PAVO;;9.308;0.479;0.05;1.453;7.761;6.668;1.534;0.0;0.0;0.0;0.012;0.0;0.276;0.0;0.197;0.0;0.0;0.0;0.013;0.0;0.0;0.169;0.256;4.0;VALOR
SALCHICHON DE CERD;;62.302;10.814;0.415;13.879;52.307;45.047;19.568;0.057;0.082;0.027;0.233;0.04;8.264;0.682;1.526;0.016;0.103;0.05;0.297;0.073;0.479;4.611;1.966;4.0;VALOR
FUET/LONGANIZAS;;69.594;9.788;0.576;19.291;62.096;54.851;24.263;0.077;0.046;0.0;0.153;0.0;7.57;0.642;1.523;0.024;0.071;0.024;0.569;0.124;0.312;3.284;2.823;3.0;VALOR
FUET/LONGANIZ.PAVO;;12.349;0.484;0.039;1.94;10.281;8.518;2.56;0.016;0.0;0.0;0.0;0.0;0.295;0.0;0.148;0.0;0.035;0.0;0.0;0.0;0.0;0.259;0.299;4.0;VALOR
FUET/LONGANIZ.CERD;;67.922;9.685;0.574;18.864;60.03;52.68;23.405;0.076;0.046;0.0;0.153;0.0;7.476;0.642;1.488;0.024;0.039;0.024;0.569;0.124;0.312;3.163;2.752;4.0;VALOR
OTROS PROD.CURADOS;;60.844;13.448;0.559;13.831;48.802;40.912;16.167;0.186;0.022;0.027;0.24;0.0;10.562;0.972;2.284;0.038;0.072;0.093;0.487;0.119;0.577;3.79;1.214;3.0;VALOR
O.PROD.CURAD.CORTE;;26.723;10.524;0.211;4.26;15.114;14.539;0.946;0.006;0.0;0.027;0.151;0.0;8.414;0.677;1.897;0.007;0.025;0.041;0.223;0.085;0.151;1.42;0.338;4.0;VALOR
O.PROD.CURAD.ENVAS;;49.478;5.582;0.43;10.765;41.167;32.706;15.467;0.173;0.022;0.0;0.093;0.0;4.069;0.373;0.739;0.033;0.067;0.049;0.282;0.026;0.454;2.66;1.025;4.0;VALOR
SALCHICHAS;;71.568;3.06;0.295;22.042;65.089;56.695;27.699;0.114;0.09;0.0;0.16;0.016;2.173;0.03;0.234;0.0;0.091;0.018;0.057;0.0;0.007;2.57;3.845;3.0;VALOR
JAMON COCIDO;;83.313;14.884;0.567;27.149;75.656;67.555;33.484;0.111;0.095;0.005;0.348;0.001;11.277;0.412;2.715;0.014;0.235;0.082;0.294;0.035;0.142;3.624;4.624;3.0;VALOR
J.COC.SIN/BAJO SAL;;16.456;1.497;0.023;2.872;12.859;7.967;5.038;0.0;0.0;0.0;0.085;0.001;1.325;0.0;0.147;0.0;0.017;0.0;0.052;0.0;0.0;0.144;0.346;4.0;VALOR
PALETA COCIDA;;8.686;2.205;0.002;1.701;5.366;5.103;0.282;0.016;0.0;0.0;0.034;0.072;1.823;0.071;0.388;0.0;0.023;0.0;0.018;0.007;0.0;0.221;0.032;3.0;VALOR
FIAMBRES;;93.189;17.899;0.912;34.981;87.989;82.286;43.938;0.111;0.129;0.058;0.171;0.012;13.755;0.492;3.04;0.016;0.27;0.088;0.458;0.128;0.153;6.255;6.119;3.0;VALOR
PAVO;;81.068;9.445;0.664;26.459;74.426;66.108;34.359;0.068;0.079;0.058;0.111;0.0;6.955;0.222;1.333;0.016;0.249;0.039;0.263;0.016;0.068;3.898;4.45;4.0;VALOR
POLLO;;29.19;1.017;0.056;6.643;24.059;17.047;10.255;0.0;0.047;0.0;0.054;0.0;0.615;0.042;0.173;0.0;0.012;0.0;0.008;0.0;0.0;0.617;0.819;4.0;VALOR
PROD.A BASE SANGRE;;28.062;9.075;0.085;6.102;17.379;14.649;3.877;0.034;0.005;0.01;0.022;0.096;7.322;0.307;1.155;0.0;0.037;0.008;0.283;0.172;0.272;1.574;0.479;3.0;VALOR
MORCILLA;;27.358;8.573;0.085;6.033;17.086;14.392;3.845;0.034;0.005;0.01;0.022;0.088;6.941;0.286;1.042;0.0;0.037;0.008;0.282;0.172;0.272;1.461;0.438;4.0;VALOR
FOIE-GRAS Y PATES;;63.989;5.536;0.482;18.759;55.29;48.092;19.637;0.029;0.187;0.0;0.174;0.017;3.955;0.117;0.713;0.0;0.16;0.069;0.262;0.085;0.129;5.126;2.402;3.0;VALOR
COCIDOS Y OTROS;;70.214;7.331;0.234;18.472;63.109;55.246;25.905;0.01;0.049;0.0;0.048;0.0;5.427;0.341;1.191;0.0;0.167;0.023;0.082;0.106;0.061;2.342;2.943;3.0;VALOR
COCIDOS Y O. CORTE;;19.292;6.035;0.063;3.184;12.116;11.753;0.444;0.0;0.0;0.0;0.013;0.0;4.644;0.202;1.113;0.0;0.079;0.023;0.019;0.106;0.051;0.764;0.142;4.0;VALOR
COCIDOS Y O.ENVASA;;65.368;1.732;0.179;16.873;60.082;51.592;25.691;0.01;0.049;0.0;0.033;0.0;1.207;0.193;0.124;0.0;0.101;0.0;0.064;0.0;0.009;1.654;2.908;4.0;VALOR
COCIDOS DE PAVO;;8.521;2.225;0.053;1.453;4.936;4.914;0.074;0.0;0.0;0.0;0.013;0.0;1.413;0.0;0.633;0.0;0.0;0.0;0.052;0.0;0.0;0.188;0.182;4.0;VALOR
COCIDOS DE CERDO;;67.853;5.612;0.193;17.697;61.318;53.202;25.769;0.01;0.049;0.0;0.03;0.0;4.183;0.341;0.764;0.0;0.118;0.023;0.035;0.106;0.061;2.146;2.869;4.0;VALOR
TOTAL PESCA;;99.41;47.597;2.043;57.278;97.933;95.58;64.189;18.175;0.313;0.0;2.882;28.727;4.843;3.403;13.05;0.045;0.921;0.316;3.111;0.608;1.26;17.312;11.639;1.0;VALOR
PESCADOS;;96.223;41.975;0.609;34.142;90.659;86.169;42.019;13.924;0.082;0.0;1.788;27.316;1.807;1.001;10.473;0.021;0.665;0.223;1.134;0.465;0.507;7.241;6.958;2.0;VALOR
PESCADOS FRESCOS;;88.484;33.68;0.513;25.216;79.58;74.214;25.242;1.035;0.049;0.0;0.985;26.835;1.39;0.843;10.102;0.021;0.558;0.006;0.811;0.455;0.37;4.575;4.494;3.0;VALOR
PESCADOS CONGELADOS;;84.379;20.308;0.283;19.374;75.721;68.223;31.039;13.729;0.044;0.0;1.128;5.257;0.697;0.241;1.819;0.0;0.22;0.21;0.473;0.102;0.202;3.782;4.377;3.0;VALOR
MERLUZA/PESCAD;;79.815;26.25;0.202;17.008;65.874;58.65;21.563;7.867;0.031;0.0;0.98;15.594;0.461;0.124;5.576;0.0;0.28;0.006;0.405;0.055;0.246;2.525;3.527;3.0;VALOR
MERLUZA/PESCAD.FRE;;51.761;19.64;0.128;9.568;36.179;32.865;5.464;0.459;0.018;0.0;0.478;15.063;0.167;0.044;5.348;0.0;0.252;0.006;0.396;0.055;0.078;1.251;1.636;4.0;VALOR
MERLUZA/PESCAD.CON;;58.684;10.942;0.098;9.894;49.404;41.467;18.181;7.711;0.012;0.0;0.753;2.217;0.346;0.106;0.908;0.0;0.031;0.0;0.171;0.0;0.236;1.468;2.461;4.0;VALOR
SARDINA/BOQUERON;;59.482;23.403;0.023;10.353;44.851;42.538;5.118;1.784;0.016;0.0;0.486;17.33;0.398;0.219;6.612;0.021;0.227;0.044;0.327;0.016;0.03;1.945;1.41;3.0;VALOR
