Alimentos;;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;+ 50 AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;NORESTE;LEVANTE;ANDALUCIA;CENTRO-SUR;CASTILLA Y LEON;NOROESTE;NORTE;T.CANARIAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;Nivel;Hoja
AÑOJO;;56.198;64.267;56.923;55.645;56.688;48.287;54.958;59.656;64.923;58.046;54.758;61.0;59.126;60.537;53.178;56.976;45.984;57.207;60.958;62.704;48.06;58.877;56.155;67.357;53.134;33.718;63.209;73.339;48.694;51.952;57.245;57.235;58.957;44.159;59.151;59.656;66.672;65.104;58.87;61.564;50.351;51.49;4.0;VALOR
MAYOR;;31.739;35.497;30.692;31.237;31.136;29.937;31.828;34.632;31.679;31.202;32.605;42.673;28.921;32.812;34.151;33.484;26.929;32.413;35.924;33.591;33.318;32.296;26.986;34.032;38.239;20.057;38.747;38.907;32.67;30.362;31.747;31.43;33.362;23.881;36.451;34.632;33.77;40.073;27.477;33.413;24.488;33.207;4.0;VALOR
CARNE POLLO;;97.93;98.918;97.608;97.896;97.705;97.241;97.504;99.125;99.303;97.902;97.983;97.731;98.322;98.121;97.799;97.98;95.134;98.443;98.93;99.322;97.645;98.009;98.61;98.457;98.091;97.543;97.486;94.972;97.82;98.813;97.865;97.183;98.305;94.221;98.048;99.125;99.24;99.708;98.616;98.896;94.447;97.611;3.0;VALOR
POLLO ENTERO;;64.163;70.662;64.494;64.82;63.096;58.091;61.877;72.082;74.241;64.117;64.802;60.125;66.526;67.827;62.189;65.097;44.346;66.32;72.169;76.475;63.15;71.125;67.867;63.811;64.053;63.217;63.449;39.264;70.962;69.567;64.506;59.697;62.696;38.278;61.172;72.082;75.983;78.738;71.471;71.794;42.815;60.174;4.0;VALOR
POLLO FILETES;;81.222;87.742;80.745;82.227;79.739;74.423;78.736;90.125;89.596;83.015;78.949;85.474;84.613;83.593;75.328;79.799;71.616;79.959;85.487;90.091;80.998;80.072;83.656;85.203;80.101;77.262;77.292;73.849;77.233;79.802;81.141;81.38;83.967;74.805;83.998;90.125;89.91;90.4;84.512;82.076;69.798;73.992;4.0;VALOR
POLLO POR PIEZAS;;96.183;97.823;95.954;95.884;95.529;95.337;95.558;97.756;98.551;96.102;96.303;95.122;96.887;96.812;95.666;96.288;92.122;96.777;97.768;98.436;96.441;97.12;97.333;96.461;96.373;94.429;95.17;90.976;97.137;96.985;96.204;95.268;96.327;90.984;96.045;97.756;98.53;98.894;97.372;98.083;91.368;95.212;4.0;VALOR
CARNE CONEJO;;44.864;46.384;43.408;44.626;44.647;45.441;46.267;43.326;43.532;42.755;48.831;41.89;40.523;48.621;51.775;49.881;39.344;47.505;49.097;45.397;52.309;53.671;34.14;43.678;48.042;43.393;49.653;27.655;63.215;47.958;43.838;40.33;44.602;35.612;33.947;43.326;45.241;54.214;43.054;54.305;35.203;51.897;3.0;VALOR
CARNE OVINO/CAPRINO;;48.019;49.349;47.13;49.236;45.096;49.447;49.973;45.741;43.83;45.114;52.954;47.023;41.236;51.491;57.826;54.257;40.848;55.09;48.403;48.159;52.415;56.264;37.279;53.642;55.745;37.854;55.201;20.284;51.71;51.892;46.146;45.078;52.325;37.134;42.574;45.741;46.47;56.125;47.876;57.064;37.354;57.69;3.0;VALOR
CORDERO;;45.205;47.176;43.604;45.707;42.25;47.285;47.003;44.512;41.046;42.736;49.668;47.264;39.276;48.203;54.36;50.896;38.01;52.573;46.23;44.365;48.903;54.192;35.425;51.168;53.635;34.718;52.906;11.549;49.426;49.2;43.025;42.179;50.13;35.46;41.215;44.512;43.462;51.53;44.671;54.92;34.257;54.282;4.0;VALOR
CABRITO;;8.248;8.516;8.712;8.227;8.713;7.646;8.67;5.03;7.473;7.058;9.758;3.184;6.113;8.585;10.946;9.64;7.307;8.948;7.461;9.872;12.798;8.194;4.178;7.176;5.39;8.674;10.187;8.685;9.405;8.379;8.476;7.231;9.007;3.266;4.216;5.03;7.224;10.676;8.348;10.905;6.939;10.263;4.0;VALOR
OTRO OVINO/CAPRINO;;2.918;4.123;2.18;4.129;1.475;3.091;3.087;2.152;2.589;3.345;3.028;1.767;2.513;3.706;2.991;3.352;2.272;2.679;3.33;3.75;3.864;1.477;3.251;2.634;6.252;1.141;3.298;5.878;2.793;3.564;3.097;3.73;2.621;0.856;0.55;2.152;4.26;6.894;3.544;2.661;3.215;2.932;4.0;VALOR
OVINO/CAPRINO ENTE;;8.017;6.559;9.992;8.69;9.288;7.416;8.361;7.671;6.572;6.47;9.919;6.496;5.99;8.074;10.35;9.123;4.36;10.248;10.224;8.278;6.407;4.57;5.385;11.359;13.353;10.743;13.249;3.483;12.874;10.796;6.557;7.539;8.856;0.682;6.741;7.671;7.214;10.309;6.69;10.862;3.565;10.29;4.0;VALOR
OVINO/CAPRINO PIEZ;;46.026;47.356;45.751;46.641;42.925;47.912;48.076;42.744;41.419;43.326;50.711;45.84;39.352;49.26;55.812;52.153;40.241;52.552;46.318;45.25;51.583;55.687;35.463;50.978;50.684;34.834;52.511;17.868;48.285;49.06;44.436;43.398;50.449;37.877;40.628;42.744;44.663;52.633;46.328;54.869;36.363;55.541;4.0;VALOR
CARNE CERDO;;96.734;98.336;96.747;96.412;95.948;95.855;96.212;97.872;98.888;96.425;97.169;94.687;96.574;97.897;97.03;97.502;92.268;97.671;98.377;98.856;96.007;97.45;97.844;96.528;97.553;96.231;97.155;93.214;98.087;97.453;96.934;96.283;95.653;87.993;96.022;97.872;98.788;99.448;98.299;98.971;92.634;96.69;3.0;VALOR
CARNE CERDO ADOBAD;;66.487;75.983;68.5;66.375;65.654;56.055;63.003;77.047;80.571;70.034;62.056;65.166;72.359;72.797;55.698;64.822;48.529;64.658;75.396;81.344;57.79;64.466;65.4;78.781;79.832;61.902;72.383;46.509;67.582;65.627;66.903;65.034;68.155;54.233;61.78;77.047;81.703;82.534;75.165;72.898;53.099;52.829;4.0;VALOR
CARN.CERDO IBERICO;;30.794;37.017;30.903;30.971;28.635;26.302;30.45;29.725;36.133;31.094;30.957;28.833;31.064;33.231;31.581;32.308;22.479;33.658;34.054;34.601;29.101;28.138;38.951;33.782;32.35;25.275;30.473;11.676;28.179;28.82;31.835;27.687;36.31;23.055;35.269;29.725;34.967;37.987;35.285;35.943;20.507;30.97;4.0;VALOR
CARNE DESPOJOS;;46.66;52.571;44.503;44.588;46.462;45.746;47.313;41.141;51.083;45.584;49.192;46.341;44.356;50.94;50.031;50.332;35.252;50.187;52.828;51.091;48.129;49.091;48.754;47.779;53.992;46.624;44.407;17.644;53.079;51.328;46.58;43.283;45.58;34.977;43.248;41.141;54.845;59.518;47.317;52.407;34.435;49.361;3.0;VALOR
DESPOJOS CERDO;;32.143;36.823;32.181;29.446;32.371;31.876;32.657;33.733;34.899;31.412;34.105;32.165;29.629;35.734;35.059;35.277;21.961;34.081;38.602;36.666;36.302;33.237;34.492;32.608;40.488;29.814;27.017;4.616;39.521;34.693;32.977;29.556;29.279;19.017;27.204;33.733;40.108;43.675;32.743;35.616;20.434;34.502;4.0;VALOR
DESPOJOS CORDERO;;8.3;7.605;7.937;9.001;6.631;9.673;9.228;4.618;5.399;7.63;9.579;7.144;5.761;8.894;11.263;9.965;6.84;11.359;9.817;5.175;9.853;11.039;4.833;9.891;14.082;2.386;10.43;0.289;9.037;11.607;7.083;7.32;10.063;5.262;7.759;4.618;5.698;10.436;6.786;12.879;3.649;11.589;4.0;VALOR
DESPOJOS POLLO;;22.165;27.812;20.764;21.137;22.664;20.105;21.796;22.507;27.095;22.683;22.496;23.268;23.818;24.678;20.588;22.613;15.338;23.087;26.145;26.836;21.315;32.691;24.76;25.516;16.852;11.496;15.795;10.957;23.537;26.702;21.231;20.705;22.659;16.706;25.588;22.507;27.497;30.143;27.074;24.765;16.607;19.684;4.0;VALOR
DESPOJOS TERNERA;;18.353;20.955;15.664;16.69;19.57;19.574;19.073;14.913;18.529;16.982;20.934;17.644;16.341;19.81;21.952;20.608;13.027;21.826;20.749;19.194;21.079;14.571;13.176;17.284;28.503;25.778;26.496;8.061;27.168;18.495;17.456;18.719;17.116;13.734;19.839;14.913;19.337;25.45;19.469;19.99;10.525;22.513;4.0;VALOR
DESPOJOS OT.PROCED;;5.054;5.095;4.059;5.085;6.142;4.938;5.161;2.712;5.481;5.315;4.852;2.125;4.712;5.92;5.122;5.362;3.909;5.312;6.603;5.274;6.721;7.321;4.354;2.972;7.544;3.663;4.675;2.172;6.346;5.087;5.069;4.361;5.84;2.123;2.877;2.712;5.783;6.008;5.549;7.125;5.126;4.988;4.0;VALOR
OTRAS CARNES FRESCA;;89.163;92.639;88.958;88.779;88.753;86.439;87.704;93.763;94.601;89.628;88.588;87.077;90.985;90.508;87.218;88.955;81.318;89.409;92.633;95.226;88.538;92.97;88.964;89.72;91.786;84.985;90.065;81.125;88.353;89.832;89.56;88.504;88.883;80.457;88.02;93.763;95.178;94.899;92.129;91.285;80.834;86.5;3.0;VALOR
AVESTRUZ;;1.33;1.908;1.321;1.185;0.634;1.366;1.404;1.072;0.95;1.192;1.472;0.002;1.05;1.293;1.781;1.557;1.449;1.109;1.278;1.377;1.88;1.626;1.372;0.737;0.697;1.146;1.703;0.0;0.653;0.932;1.42;0.835;2.245;0.844;0.085;1.072;1.482;1.551;1.958;0.404;0.968;1.886;4.0;VALOR
PAVO;;72.201;79.397;71.727;71.885;70.975;66.268;69.809;83.833;79.714;73.491;70.727;75.335;76.569;74.332;67.307;71.061;58.89;72.714;78.075;81.421;72.574;75.121;70.397;74.133;74.286;67.416;79.047;58.167;72.716;74.136;73.164;69.614;71.797;58.681;72.372;83.833;80.779;80.709;77.64;76.587;59.954;65.972;4.0;VALOR
OTRAS AVES;;34.574;40.402;34.981;33.705;32.895;30.745;33.491;38.474;39.533;34.601;34.547;34.583;35.667;35.543;33.263;34.399;24.349;36.236;38.196;42.313;38.694;40.93;33.585;34.874;33.778;25.345;33.462;18.185;38.13;35.814;35.67;33.044;31.788;24.917;33.192;38.474;42.372;43.667;34.124;36.695;20.625;33.149;2.0;VALOR
CARNE CABALLO;;5.125;6.1;4.194;4.27;4.305;6.418;5.191;7.954;3.828;3.933;6.621;3.812;4.386;4.739;6.887;5.784;3.98;5.794;6.111;4.856;6.257;8.72;5.788;4.139;5.287;2.741;4.931;1.308;5.862;4.994;5.425;4.59;5.325;1.797;5.525;7.954;3.634;4.753;3.478;6.014;2.899;7.384;4.0;VALOR
CARNE CONGELADA;;47.935;52.581;43.935;48.635;48.716;44.884;46.07;53.745;55.776;47.468;48.596;52.731;48.087;50.779;44.5;47.811;36.25;47.127;53.729;58.21;45.055;52.106;56.533;47.465;40.984;31.519;35.446;78.719;50.316;47.318;49.792;46.676;45.368;34.716;44.704;53.745;56.452;60.433;54.298;49.253;36.255;42.539;2.0;VALOR
C.CONG.POLLO;;34.163;37.623;31.395;35.66;34.826;30.833;32.174;43.068;40.751;34.524;33.781;42.277;35.727;36.765;28.733;32.927;24.106;32.731;37.555;45.351;29.903;36.337;41.722;35.433;28.272;18.966;20.592;71.442;36.104;32.826;36.391;32.976;31.362;24.797;34.112;43.068;41.564;46.155;40.462;33.075;24.366;27.365;3.0;VALOR
C.CONG.CERDO;;20.756;24.24;20.049;20.5;20.88;18.13;19.802;21.803;26.715;21.112;20.677;22.582;21.093;22.241;18.979;20.73;13.327;20.993;24.692;26.841;17.805;23.877;25.724;19.15;19.363;13.083;13.421;45.446;20.854;23.182;21.506;19.951;18.112;12.731;21.949;21.803;27.712;27.738;24.09;20.692;13.973;17.692;3.0;VALOR
C.CONG.VACA;;7.618;8.931;7.112;8.44;7.173;6.361;7.534;8.418;7.89;7.069;8.279;9.115;6.646;7.351;8.847;8.027;5.65;7.823;10.113;8.257;7.279;7.725;7.669;5.665;7.03;7.792;6.702;27.375;6.313;8.109;8.231;7.855;6.498;6.781;7.447;8.418;7.822;8.511;10.45;7.254;6.026;7.77;3.0;VALOR
RESTO CARNES CONG.;;15.974;16.978;15.338;16.574;15.112;15.924;15.519;17.823;18.201;15.113;17.02;14.455;15.717;17.22;15.668;16.519;10.466;16.308;19.652;19.347;16.562;18.176;16.571;15.557;16.082;7.896;11.864;32.838;13.989;16.666;15.395;18.398;14.392;11.82;11.54;17.823;20.079;21.009;17.074;16.787;10.8;15.073;3.0;VALOR
C.CONG.CABALLO;;0.145;0.174;0.0;0.39;0.0;0.034;0.162;0.0;0.125;0.066;0.239;0.0;0.051;0.079;0.318;0.193;0.204;0.2;0.041;0.067;0.365;0.0;0.0;0.0;1.056;0.0;0.092;0.0;0.617;0.0;0.0;0.11;0.47;0.0;0.0;0.0;0.112;0.018;0.0;0.061;0.174;0.372;4.0;VALOR
SALCHICHAS CONGELAD;;0.385;0.0;0.281;0.671;0.45;0.516;0.368;0.888;0.263;0.144;0.674;0.786;0.364;0.356;0.61;0.401;0.0;0.568;0.641;0.506;0.137;0.278;0.177;0.168;1.075;0.525;0.0;4.068;1.039;0.36;0.424;0.462;0.023;0.0;0.214;0.888;0.318;0.8;0.58;0.577;0.0;0.494;3.0;VALOR
CARNE TRANSFORMADA;;99.613;99.738;99.819;99.43;99.733;99.464;99.582;99.631;99.848;99.699;99.501;99.581;99.718;99.793;99.409;99.607;99.282;99.759;99.73;99.754;99.438;99.637;99.864;99.814;99.808;99.384;99.269;99.093;99.698;99.788;99.461;99.631;99.741;99.471;99.621;99.631;99.841;99.856;99.851;99.869;99.593;99.305;2.0;VALOR
JAMON CURADO+PALETA;;91.938;94.217;91.889;91.979;89.193;91.505;91.928;90.253;93.942;91.092;92.99;86.655;90.022;93.744;94.359;94.04;88.456;92.878;93.781;93.359;90.855;93.787;93.19;91.781;93.418;91.41;91.094;87.721;91.391;91.414;92.673;91.555;91.389;80.449;87.427;90.253;94.371;95.325;93.753;95.413;87.768;93.894;3.0;VALOR
JAMON C.+P.ENTERO;;36.972;41.948;38.074;36.011;33.332;35.16;37.721;33.418;36.865;34.35;40.426;22.05;32.61;41.319;41.239;41.243;25.964;43.488;40.872;38.709;38.596;39.733;38.244;37.233;37.498;36.642;34.015;20.476;45.103;35.668;36.407;35.419;38.995;12.001;33.373;33.418;39.211;47.034;32.875;46.773;27.477;40.908;4.0;VALOR
JAMON C.+P.LONCHA;;90.109;92.912;89.73;90.211;87.5;89.225;90.005;89.059;92.24;89.587;90.765;85.635;88.405;91.764;92.289;92.015;86.593;90.657;92.037;92.028;88.752;92.222;91.273;90.074;90.886;89.516;89.222;87.423;86.29;89.459;91.162;90.009;89.637;80.452;85.139;89.059;92.653;94.07;92.614;93.493;84.617;91.666;4.0;VALOR
JAMON CURADO NORMAL;;88.367;91.554;88.118;87.815;85.429;87.963;87.945;87.639;92.172;87.609;89.312;84.212;87.12;90.139;89.879;90.003;83.137;88.971;91.194;91.459;85.936;91.486;89.936;88.123;89.516;89.148;87.164;84.196;89.144;89.445;89.228;87.109;86.801;76.629;83.411;87.639;92.654;93.669;90.894;91.414;82.501;89.082;3.0;VALOR
JAMON C.N.ENTER/PI;;29.434;33.597;30.047;28.154;26.002;28.927;29.808;26.765;30.397;27.189;32.352;17.191;25.696;33.265;32.545;32.892;20.243;34.102;32.749;31.864;30.352;34.739;26.675;28.853;33.652;31.669;28.001;16.723;39.675;29.527;29.164;28.279;28.014;8.457;23.621;26.765;31.569;39.127;29.41;36.524;21.955;31.893;4.0;VALOR
JAMON C.N.LONCHA;;86.271;89.84;85.473;85.82;83.582;85.598;85.747;86.016;90.367;85.704;86.985;82.935;85.417;87.714;87.518;87.604;81.18;86.26;89.233;89.905;83.621;89.876;87.866;86.159;86.549;87.213;84.057;83.592;84.484;87.262;87.415;85.159;84.822;76.251;81.215;86.016;90.972;91.819;89.278;88.746;79.527;86.658;4.0;VALOR
JAMON IBERICO;;38.604;43.276;38.464;39.51;34.056;36.347;40.494;33.395;34.305;37.033;41.098;37.086;32.703;41.538;46.459;43.739;36.454;43.299;38.957;36.214;40.639;35.641;38.572;42.437;32.319;29.312;44.697;38.935;30.804;33.832;37.507;40.245;46.418;26.369;37.695;33.395;36.145;42.243;39.81;46.032;34.98;45.262;3.0;VALOR
JAMON IBE.ENTER/PI;;10.793;12.198;12.823;11.321;9.683;8.887;11.202;10.912;10.472;9.561;12.347;7.189;9.555;10.412;13.807;12.043;7.466;14.904;10.693;10.816;9.545;8.023;16.357;13.521;9.216;6.889;10.673;6.332;10.129;9.454;10.322;11.307;13.023;3.494;13.386;10.912;9.299;12.716;8.381;13.706;6.734;13.907;4.0;VALOR
JAMON IBE.LONCHA;;34.933;40.003;33.599;35.406;30.877;33.201;36.838;29.311;30.21;33.477;37.245;36.948;28.675;37.861;42.364;39.863;33.891;39.156;34.71;32.093;37.862;32.649;32.182;37.327;30.394;27.41;42.847;36.701;27.105;29.43;34.275;36.01;43.069;24.86;34.718;29.311;32.047;36.977;36.839;42.481;32.006;41.149;4.0;VALOR
PALETA CURADA NORM.;;25.242;27.328;23.859;24.474;22.787;26.76;25.485;20.493;27.284;24.781;25.828;24.914;22.949;27.514;26.346;26.913;22.199;24.765;29.598;26.087;28.01;21.36;24.117;24.189;23.047;22.662;36.142;20.627;25.229;26.689;25.048;25.001;24.862;16.383;23.26;20.493;27.926;31.369;26.942;28.473;18.456;26.254;3.0;VALOR
PALETA C.N.ENTR/PI;;3.854;4.669;4.748;4.325;2.909;3.488;4.114;2.208;3.607;4.151;4.06;1.74;3.301;4.49;4.34;4.417;2.823;4.572;5.726;3.162;4.596;3.498;3.06;2.585;2.035;7.969;6.911;1.583;3.822;4.106;4.313;3.58;4.349;0.0;2.654;2.208;4.402;4.548;2.479;6.54;2.812;4.601;4.0;VALOR
PALETA C.N.LONCHA;;22.865;25.022;21.322;21.771;21.391;24.197;22.909;19.332;25.331;22.829;22.932;23.404;21.205;24.813;23.437;24.113;20.013;22.14;26.424;24.412;25.583;19.447;22.136;22.836;22.256;15.665;32.42;20.2;21.617;23.467;22.723;23.101;22.9;16.383;20.88;19.332;25.883;28.645;25.537;25.024;15.783;23.234;4.0;VALOR
PALETA IBERICA;;19.751;23.076;19.299;19.548;17.473;18.735;20.907;14.163;17.05;18.474;21.504;22.436;14.459;21.289;24.634;22.859;18.711;21.955;21.214;17.194;26.08;13.986;18.387;19.146;13.576;17.985;28.569;13.245;14.258;17.832;18.291;20.86;25.794;14.648;17.863;14.163;17.988;21.563;19.681;24.168;14.664;24.454;3.0;VALOR
PALETA IB.ENTER/PI;;3.516;3.767;3.957;3.465;3.456;3.225;3.612;3.818;2.749;3.201;3.919;2.048;2.855;3.95;3.868;3.898;2.019;4.405;3.512;4.317;6.101;2.458;3.894;3.18;1.445;2.2;3.342;0.167;3.871;3.839;3.74;2.771;3.709;1.26;4.081;3.818;4.009;4.195;2.573;4.516;2.683;3.346;4.0;VALOR
PALETA IBE.LONCHA;;17.504;20.465;17.016;17.48;14.928;16.831;18.665;11.353;14.907;16.184;19.292;20.6;12.387;18.601;22.443;20.416;17.231;19.457;18.642;14.561;22.549;12.397;15.484;16.744;12.9;16.19;27.271;13.248;11.945;14.988;15.808;19.247;23.657;13.434;14.635;11.353;14.87;19.158;17.887;21.428;12.667;22.686;4.0;VALOR
HUESOS JAMON CURADO;;18.826;22.746;21.424;16.953;18.453;17.031;18.815;23.05;19.874;18.941;19.442;16.896;18.44;21.662;19.347;20.381;14.087;18.875;23.852;20.916;18.651;20.494;21.425;23.758;15.804;15.255;13.543;5.974;15.383;15.349;19.943;18.674;22.044;5.676;20.471;23.05;22.969;23.778;20.327;21.899;13.988;19.203;3.0;VALOR
LOMO EMBUCHADO N+IB;;54.31;60.356;53.434;54.972;53.293;49.248;53.259;55.475;60.863;55.227;53.273;46.648;54.097;59.515;51.626;55.702;44.331;54.336;59.174;62.361;49.32;57.85;54.521;60.508;59.801;52.948;49.667;41.835;47.48;52.686;54.596;56.781;53.884;38.167;48.631;55.475;62.452;65.712;58.18;58.489;48.773;49.739;3.0;VALOR
LOMO EMB.AL CORTE;;19.593;22.374;20.135;19.473;17.885;17.863;19.476;23.378;20.302;19.09;20.276;14.962;18.237;22.904;19.748;21.395;12.967;20.612;22.902;23.717;14.449;23.79;15.845;25.223;24.965;24.653;15.867;14.911;17.915;18.641;19.692;19.861;20.709;7.736;14.862;23.378;22.818;29.123;17.379;24.578;15.071;18.688;4.0;VALOR
LOMO EMB.ENVASADO;;45.612;49.941;45.185;47.433;45.535;40.107;44.376;46.915;53.07;47.296;43.632;41.748;46.603;49.766;41.911;45.941;38.033;44.53;50.236;52.62;41.936;48.726;48.269;50.549;46.259;40.015;43.067;35.502;37.881;44.718;45.663;47.952;45.752;35.506;42.887;46.915;53.732;53.289;51.27;47.128;41.76;40.552;4.0;VALOR
