Alimentos;;T.ESPAÑA;TIENDA TRADICIONAL;ECONOMATO/COOPERATIVA;HIPERMERCADO;SUPER+AUTO+GRAN ALMACEN;SUPER+AUTOSER;TIENDA DESCUENTO;TIENDA CONGELADOS;HERBORISTERIAS;VENTA A DOMICILIO;FARMACIAS;PESCADERIAS;CARNICERIA/CHARCUT;MERCADILLOS/AMBULANTES;MERCADOS & PLAZAS;LECHERIAS;PANADERIAS;BAR/BODEGAS;VERDULERIA/FRUTERIA;AUTOCONSUMO (C.PROPIA);COMPRA DIRECTA PRODUCTOR;RESTO CANALES;E-COMMERCE;Nivel;Hoja
CARNE CABALLO;;23283.5269;20492.1632;24.82686;368.163936;1753.0733699999996;1648.1539000000002;104.919481;0.0;0.0;15.576457000000001;0.0;0.0;14554.2935;104.0783;5866.4653;0.0;0.0;0.0;39.62665;0.0;39.08763;411.81838;74.7393;4.0;VALOR
CARNE CONGELADA;;276302.61;48284.187;323.862214;17973.2437;190385.00999999998;171722.78999999998;18662.227;31352.060999999998;18.394893;2622.8676900000005;0.0;138.09555;14048.6087;228.20349999999996;754.888836;0.0;0.0;0.0;356.34627200000006;1506.0220140000001;1613.0014999999999;8898.666500000001;4467.5431;2.0;VALOR
C.CONG.POLLO;;148069.91999999998;20520.537999999993;141.07950100000002;10669.0504;109435.78700000001;97566.90999999999;11868.874799999998;16974.631599999997;0.0;1133.9033100000001;0.0;115.706234;2565.99662;149.34676000000002;150.60327;0.0;0.0;0.0;63.890097999999995;63.802369999999996;442.77781;3008.74131;2504.8940900000002;3.0;VALOR
C.CONG.CERDO;;61115.240000000005;12284.7912;10.711399;4271.961829999999;38988.151000000005;35505.602;3482.5491199999997;6165.8186000000005;7.023428;890.620852;0.0;9.950139;5407.41417;78.85678300000001;407.791616;0.0;0.0;0.0;54.864509000000005;314.391164;992.6793200000001;2806.2597299999998;476.81688;3.0;VALOR
C.CONG.VACA;;24852.029000000002;8137.937099999999;106.35551000000001;1437.2799189999998;11682.489499999998;10739.8311;942.6581100000001;4949.553620000001;11.371465;191.13372;0.0;0.0;2681.9873799999996;0.0;152.70158;0.0;0.0;0.0;5.930995;931.38338;109.95494;1670.2662;585.2307129999999;3.0;VALOR
RESTO CARNES CONG.;;42265.424;7340.919999999999;65.71587000000001;1594.94923;30278.594999999998;27910.453;2368.14292;3262.0562;0.0;407.20993;0.0;12.43917;3393.209411;0.0;43.79243;0.0;0.0;0.0;231.66067;196.44511;67.58936;1413.3985559999999;900.6014220000002;3.0;VALOR
C.CONG.CABALLO;;163.11559;97.6473;0.0;0.0;65.46826;65.46826;0.0;0.0;0.0;0.0;0.0;0.0;97.6473;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;VALOR
SALCHICHAS CONGELAD;;817.0781599999999;376.58895300000006;0.0;178.32074;106.808589;96.677179;10.13141;226.125103;0.0;0.0;0.0;0.0;105.00787;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;75.102529;80.25736;3.0;VALOR
CARNE TRANSFORMADA;;5292920.1;663824.3300000001;13097.052200000002;758657.4;3568183.4;2918862.6;649320.8700000001;1914.7830099999999;2420.6596900000004;5918.9852200000005;128.42573;734.944712;497983.63000000006;17816.5545;90823.81599999999;684.178377;4840.3092;1704.3647299999998;8789.687600000001;7327.0936649999985;32172.502;138759.005;87163.758;2.0;VALOR
JAMON CURADO+PALETA;;1550939.01;243313.08999999997;3287.72105;243530.59999999998;949265.04;822855.5700000001;126409.458;460.055255;1152.5184610000001;2175.860927;26.794620000000002;233.50211;184816.27;6028.167869999999;35973.746;13.43189;1816.625202;662.006264;2491.15703;854.386435;13502.44025;63681.993;25299.679300000003;3.0;VALOR
JAMON C.+P.ENTERO;;424347.13;85447.913;2212.071218;97274.32800000001;171132.34600000002;160263.957;10868.382;149.12794;1008.07041;386.4465;0.0;73.269748;70542.504;4509.624099999999;6608.2187;0.0;1167.87911;493.42716;673.6582879999999;598.23101;10722.228398000001;43952.8244;8111.107016;4.0;VALOR
JAMON C.+P.LONCHA;;1126591.75;157865.17099999997;1075.649199;146256.28299999997;778132.7;662591.62;115541.08000000002;310.92733000000004;144.44843100000003;1789.4144270000002;26.794620000000002;160.23236;114273.80300000001;1518.5445999999997;29365.526;13.43189;648.7462280000001;168.579106;1817.49883;256.155385;2780.21328;19729.169599999997;17188.5726;4.0;VALOR
JAMON CURADO NORMAL;;919412.59;117442.637;2011.9955299999997;118273.86600000001;634219.39;539370.8;94848.60100000001;326.106125;1068.8774780000003;435.725865;26.794620000000002;73.269748;87968.73;5595.35627;15904.167500000001;13.43189;1162.038223;508.47020000000003;1188.578056;281.40820500000007;2179.430838;26579.298;12393.537399999997;3.0;VALOR
JAMON C.N.ENTER/PI;;216024.22;47686.65;1121.1073880000001;42374.827000000005;95602.136;91031.856;4570.2776300000005;120.9536;1008.07041;259.36560000000003;0.0;73.269748;36195.664000000004;4439.3502;5129.7835;0.0;973.0739;493.42716;652.3331199999999;165.9402;1552.519908;19247.9821;3574.332859;4.0;VALOR
JAMON C.N.LONCHA;;703388.4500000001;69755.985;890.8879979999999;75899.05099999999;538617.25;448338.94999999995;90278.325;205.15253;60.80707;176.360325;26.794620000000002;0.0;51773.069;1156.00659;10774.3848;13.43189;188.964368;15.043040000000001;536.244911;115.467965;626.9109400000001;7331.316900000001;8819.2047;4.0;VALOR
JAMON IBERICO;;425243.43;106452.13799999999;614.330647;76039.861;193781.72999999998;182237.691;11544.0411;133.94912;83.641363;1247.355;0.0;140.62986;79337.71900000001;367.06162200000006;19259.3574;0.0;448.900294;45.450856;904.989744;572.9782299999999;10352.076260000002;27076.6;8739.291669999999;3.0;VALOR
JAMON IBE.ENTER/PI;;150090.392;28658.3583;514.56912;42925.4349;46568.298;45152.707;1415.587761;28.17434;0.0;0.0;0.0;0.0;25952.422899999998;18.064949;1080.62451;0.0;9.49431;0.0;21.325162;432.29080999999996;8708.8144;18652.41435;3612.1438499999995;4.0;VALOR
JAMON IBE.LONCHA;;275153.04;77793.779;99.76152699999999;33114.427;147213.43899999998;137084.989;10128.452399999998;105.77477999999999;83.641363;1247.355;0.0;140.62986;53385.288;348.99670000000003;18178.7319;0.0;439.40599000000003;45.450856;883.66459;140.68742;1643.2618599999998;8424.1776;5127.14737;4.0;VALOR
PALETA CURADA NORM.;;62879.008;5568.7126;96.29817299999999;8114.402800000001;43542.429000000004;34070.38199999999;9472.0479;0.0;0.0;245.8206;0.0;0.0;4308.725829999999;58.80748;511.0719930000001;0.0;198.69398;0.0;304.72612;0.0;120.156;4119.73358;1012.64563;3.0;VALOR
PALETA C.N.ENTR/PI;;16010.4837;2553.5480100000004;87.12549;1881.47102;7556.3928;5297.688680000001;2258.7045700000003;0.0;0.0;0.0;0.0;0.0;1845.06095;52.209199999999996;397.81032;0.0;185.3109;0.0;0.0;0.0;24.756130000000002;3648.2806499999997;206.70005;4.0;VALOR
PALETA C.N.LONCHA;;46868.522;3015.16433;9.172678000000001;6232.9311;35986.034999999996;28772.692000000003;7213.343699999999;0.0;0.0;245.8206;0.0;0.0;2463.66429;6.59828;113.26173999999999;0.0;13.38308;0.0;304.72612;0.0;95.39992;471.45241;805.9456;4.0;VALOR
PALETA IBERICA;;143403.884;13849.5988;565.096513;41102.471;77721.475;67176.704;10544.7713;0.0;0.0;246.9599;0.0;19.6025;13201.128799999999;6.943137;299.14750999999995;0.0;6.992786;108.0852;92.86327499999999;0.0;850.7787000000001;5906.36771;3154.20659;3.0;VALOR
PALETA IB.ENTER/PI;;42222.0298;6549.35019;489.2695;10092.593600000002;21405.526899999997;18781.714799999998;2623.8111799999997;0.0;0.0;127.0809;0.0;0.0;6549.35019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;436.1382;2404.14523;717.9293;4.0;VALOR
PALETA IBE.LONCHA;;101181.865;7300.247799999999;75.827013;31009.878;56315.959;48394.99599999999;7920.9597;0.0;0.0;119.87889999999999;0.0;19.6025;6651.7773;6.943137;299.14750999999995;0.0;6.992786;108.0852;92.86327499999999;0.0;414.64049;3502.2225399999998;2436.2771900000002;4.0;VALOR
HUESOS JAMON CURADO;;16180.0713;5169.3694000000005;0.0;460.831419;9565.357100000001;9242.5039;322.851768;0.0;7.950754;0.0;0.0;0.0;3926.7341;58.45687600000001;988.98565;0.0;0.0;0.0;28.564834999999995;54.744428;36.583306;600.181108;234.54740999999999;3.0;VALOR
LOMO EMBUCHADO N+IB;;240486.27000000002;53520.425;1104.048682;23601.755100000002;139062.313;122172.766;16889.552;33.092817;22.976939;1124.66362;8.008062;0.0;43396.829;2165.90194;7263.80281;30.91426;577.011774;191.035027;295.53832;811.8045;4850.832;10934.2862;3310.2263000000003;3.0;VALOR
LOMO EMB.AL CORTE;;87078.712;37475.138000000006;247.90795400000005;6019.2013;38251.022;36800.029;1450.99321;6.554767;0.0;105.51711999999999;8.008062;0.0;31421.275999999998;1124.305487;5333.101309999999;0.0;146.69463;2.0349269999999997;16.48452;452.25639;394.118951;2591.7751799999996;417.46499800000004;4.0;VALOR
LOMO EMB.ENVASADO;;153407.55500000002;16045.2862;856.140558;17582.5543;100811.291;85372.743;15438.56;26.53805;22.976939;1019.1465;0.0;0.0;11975.5554;1041.5964299999998;1930.7004100000004;30.91426;430.317184;189.0001;279.0538;359.5481;4456.713;8342.5111;2892.76119;4.0;VALOR
LOMO EMB.NORMAL;;146393.2;21514.8149;557.853282;13778.559399999998;100341.34099999999;85485.50800000002;14855.830000000002;33.092817;0.971701;264.22616999999997;8.008062;0.0;17462.190300000002;1077.6249799999998;2841.83435;30.91426;161.547704;2.0349269999999997;63.065349999999995;90.73459;1908.86102;4882.5603;1976.6366;4.0;VALOR
LOMO E.N.AL CORTE;;45776.843;15577.327699999998;197.09210900000002;4133.6368999999995;23945.834000000003;22583.56;1362.27428;6.554767;0.0;105.51711999999999;8.008062;0.0;13217.2379;796.832377;1777.2088800000001;0.0;81.43279;2.0349269999999997;16.48452;54.78579;325.176451;347.33678900000007;293.302548;5.0;VALOR
LOMO E.N.ENVASADO;;100616.37500000001;5937.488300000001;360.761208;9644.9228;76395.506;62901.951;13493.555799999998;26.53805;0.971701;158.70905;0.0;0.0;4244.9511;280.7926;1064.6254999999999;30.91426;80.11491400000001;0.0;46.58083;35.948800000000006;1583.6845899999998;4535.2236;1683.3338999999999;5.0;VALOR
LOMO EMB.IBERICO;;94093.049;32005.608;546.195198;9823.1949;38720.976;36687.255;2033.72043;0.0;22.005237;860.4374;0.0;0.0;25934.6374;1088.27705;4421.967208;0.0;415.46413000000007;189.0001;232.47297;721.0699;2941.97043;6051.725869999999;1333.5895799999998;4.0;VALOR
LOMO E.I.AL CORTE;;41301.865000000005;21897.8113;50.815838;1885.5640600000002;14305.186599999999;14216.4671;88.71898;0.0;0.0;0.0;0.0;0.0;18204.0368;327.47322;3555.892328;0.0;65.26183;0.0;0.0;397.4706;68.94252;2244.43799;124.16243;5.0;VALOR
LOMO E.I.ENVASADO;;52791.184;10107.7971;495.37937;7937.6305;24415.791;22470.788;1945.00146;0.0;22.005237;860.4374;0.0;0.0;7730.60325;760.8038299999998;866.0748600000001;0.0;350.20230000000004;189.0001;232.47297;323.59929999999997;2873.02793;3807.28793;1209.42713;5.0;VALOR
OTRAS SALAZONES;;128836.076;34392.683;429.45728899999995;12816.3326;76744.272;62107.726;14636.548499999997;107.80259999999998;14.151862000000001;221.591005;0.0;0.0;30095.545000000002;245.176208;2896.7966099999994;13.35445;13.796610000000001;85.98362;99.283084;371.67081;341.746863;2153.23212;1119.92228;3.0;VALOR
O.SALAZONES AL COR;;56399.469000000005;31379.498;148.47834999999998;4046.6128000000003;18488.453;17053.496000000003;1434.95829;62.84905;0.0;97.886072;0.0;0.0;27514.35;205.128848;2641.00841;0.0;13.796610000000001;85.98362;67.765023;355.98873000000003;258.513923;1118.31147;300.599015;4.0;VALOR
O.SALAZONES ENVASA;;72436.617;3013.1867599999996;280.978941;8769.719700000001;58255.82200000001;45054.23;13201.587899999999;44.95355;14.151862000000001;123.70494000000001;0.0;0.0;2581.191959999999;40.04736;255.78804000000002;13.35445;0.0;0.0;31.518061000000003;15.68208;83.23291;1034.9208800000001;819.3232;4.0;VALOR
TOCINO Y MANTECA;;137196.061;12870.3846;496.899594;17487.722;98533.342;78193.904;20339.438;11.55063;479.73165099999994;125.225762;46.93307;4.991787;8643.8753;341.35155;1960.1683999999998;121.511;186.036125;45.338657999999995;313.52949800000005;123.33136999999999;426.40980200000007;4079.5454;2711.835;3.0;VALOR
