Alimentos;;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;+ 50 AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;NORESTE;LEVANTE;ANDALUCIA;CENTRO-SUR;CASTILLA Y LEON;NOROESTE;NORTE;T.CANARIAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;Nivel;Hoja
CARNE CONEJO;;27726.346;6363.3277;3573.3383000000003;6664.5353;3887.6414999999993;7237.500999999999;23739.597999999998;1435.6604399999999;2551.0861999999993;12222.050700000002;15504.295999999998;903.8056;5037.308999999999;10109.4123;11675.817700000001;21785.230000000003;5816.3349;9619.3234;6117.1639000000005;6173.5217;8039.8369999999995;4957.0504;2703.5343;3940.2981;1997.1129;2533.1753;2932.3328000000006;623.0030799999998;2542.49473;5204.039000000001;10771.5728;5543.353899999999;3664.8835;508.5344400000001;834.5084700000001;1435.6604399999999;3258.8156999999997;3413.0223000000005;1727.7923500000002;5031.123500000001;1394.81306;10122.0735;3.0;VALOR
CARNE OVINO/CAPRINO;;38945.459;8213.469799999999;4532.1113;10063.7638;5423.4779;10712.634600000001;33692.637;1785.20024;3467.6217000000006;15855.485300000002;23089.974;1043.97569;7029.0662;13251.4456;17620.9708;30872.417999999998;6985.044699999999;15864.701899999998;7592.616100000001;8503.0955;9717.606600000001;5312.896;3432.4244000000003;8788.4344;4236.6772;2682.1139200000002;4277.5755;497.728698;4230.7369;6458.781;13803.2811;8257.1676;6195.4921;424.54379100000006;1275.5429100000001;1785.20024;4829.2081;4378.4964;2285.1743;7532.727599999999;1657.3953300000003;14777.168200000002;3.0;VALOR
CORDERO;;33866.802;7277.874599999999;3762.9132;8871.0586;4638.1532;9316.8009;29303.863;1528.65139;3034.2878;13776.4172;20090.386;927.9802900000001;6181.133900000001;11421.328999999998;15336.359000000002;26757.688000000002;6099.855600000001;14012.339600000001;6615.3723;7139.2344;8394.375600000001;4915.1347000000005;2975.1684999999998;7869.0689;3614.7541;1969.0435400000001;3806.6023999999998;322.65300399999995;3761.0437;5522.2198;12135.038500000002;6980.030500000001;5468.469000000001;394.01094800000004;1134.8190100000002;1528.65139;4229.3774;3522.2994999999996;2028.8663000000004;6704.1711000000005;1404.57987;12920.025700000002;4.0;VALOR
CABRITO;;3770.4289;648.5424499999999;589.03044;882.2784;660.31686;990.2608100000002;3280.29809;204.51298600000004;285.617836;1512.33297;2258.09598;94.24048800000001;608.03522;1223.26832;1844.8845999999999;3068.1531300000006;695.315265;1586.5297699999999;632.93508;855.64879;1003.51569;345.367215;347.42114899999996;705.5849900000001;182.258193;687.8970290000001;377.783178;120.60146;228.90663700000002;690.9098;1463.4648200000001;837.8659899999999;549.2816700000001;27.093826;137.249687;204.51298600000004;309.82322700000003;548.50604;215.06514999999996;589.41426;183.790517;1554.97321;4.0;VALOR
OTRO OVINO/CAPRINO;;1308.22738;287.052225;180.16751899999997;310.427668;125.00757300000001;405.572494;1108.4753699999999;52.035733;147.716252;566.734723;741.4926399999999;21.754941;239.89647799999997;606.8484400000001;439.72749;1046.57609;189.87397099999995;265.83245800000003;344.30918599999995;508.21186599999993;319.714849;52.394014999999996;109.834771;213.78055;439.665275;25.173415000000002;93.19023;54.474248;240.786475;245.650587;204.77760700000002;439.270932;177.741802;3.439013;3.474342;52.035733;290.00758300000007;307.690452;41.242850999999995;239.14241499999997;69.024873;302.170174;4.0;VALOR
OVINO/CAPRINO ENTE;;10242.212;2219.9832300000003;1130.8785819999998;2800.725;1323.1406299999999;2767.48414;8875.6088;526.83123;839.77239;3765.3734000000004;6476.8387999999995;288.119369;2114.2017299999998;2914.14342;4925.74738;7839.890800000001;948.0262619999999;5122.8947;1814.8762599999998;2356.41525;1407.63243;654.331302;805.230695;2645.96756;2005.1322;1149.72136;1338.982183;235.214252;2085.22895;1827.1668300000001;3159.91068;1869.2718799999998;1300.6337700000001;20.293029999999998;322.058793;526.83123;1401.2897100000002;1119.82134;458.748609;2537.6387;247.22541999999999;3608.30523;4.0;VALOR
OVINO/CAPRINO PIEZ;;28703.247000000007;5993.486199999999;3401.2327;7263.038899999999;4100.337100000001;7945.150299999999;24817.027;1258.3688200000001;2627.8493999999996;12090.109999999999;16613.1356;755.85628;4914.8640000000005;10337.3017;12695.223899999999;23032.525999999998;6037.0182;10741.8065;5777.7399;6146.6797;8309.973600000001;4658.5645;2627.1935999999996;6142.467000000001;2231.5454;1532.3923700000003;2938.5936;262.514457;2145.5077;4631.6138;10643.369799999999;6387.8957;4894.858799999999;404.25075100000004;953.48424;1258.3688200000001;3427.9184;3258.6746999999996;1826.42557;4995.089800000001;1410.1698099999999;11168.8638;4.0;VALOR
CARNE CERDO;;423160.35;107062.86799999999;57951.554000000004;105481.69300000003;65806.106;86858.138;320419.18;35249.797999999995;67491.39;224281.17;198879.18;18628.637;118307.66200000001;165273.6;120950.452;286224.02999999997;60617.06099999999;114836.199;100809.28700000001;146897.80000000002;92839.619;59564.802;71247.924;82839.91100000001;30633.698999999997;40443.32399999999;33089.826;12501.2595;34020.386;70651.71;172239.19;90007.92499999999;56241.15299999999;7899.551999999999;16956.536999999997;35249.797999999995;82638.464;64879.93;36697.403;62667.10599999999;20216.808999999997;95954.763;3.0;VALOR
CARNE CERDO ADOBAD;;40710.175;10803.3105;6206.903799999999;10525.135800000002;6069.7974;7105.026099999999;29704.843999999997;3763.7213999999994;7241.609100000001;23649.560999999998;17060.613;1875.3955599999997;13143.946600000001;16270.349999999999;9420.483199999999;25690.833;5594.210300000001;9704.587;10402.6355;15008.739999999998;5777.857800000001;4570.6425;4913.052699999999;12308.5601;4566.0299;2998.9912;4428.939399999999;1146.0998;2994.5416;6098.981499999999;15466.772;9842.2401;6307.6391;921.04103;1788.7619;3763.7213999999994;8712.1209;6696.428;3734.6968;5592.9437;2098.2354;7402.2249;4.0;VALOR
CARN.CERDO IBERICO;;12397.6344;3639.643699999999;1503.6395300000001;3029.8079000000002;1652.28929;2572.2531;9915.6669;760.6073300000002;1721.3590000000002;5995.0733;6402.5599;437.4222900000001;2866.5108999999998;4405.353;4688.347299999999;9093.700399999998;1939.20856;4150.400699999999;2426.2598;3881.7645000000007;2496.8082999999997;1125.0262999999998;3587.1883;2586.5660000000003;842.7680399999999;638.4144299999999;877.30712;243.55490999999998;923.30035;1908.8896900000002;4462.178;2868.0728000000004;2235.1926000000003;158.81182299999998;418.60665;760.6073300000002;1936.3971999999999;1673.7792299999999;1193.39343;2098.3651;452.4373499999999;3705.2353999999996;4.0;VALOR
