Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
TRANQUILO NACIONA;17.208;16.915;17.537;18.527;15.443;17.082;18.991;9.438;11.212;14.271;21.001;9.97;10.514;18.531;24.379;18;19.97;16.315;13.527;14.961;13.792;18.579;16.364;19.3;16.775;18.238;11.687;7.819;9.438;12.903;18.22;13.834;22.274;17.132;24.167;5.0
TRANQUILO EXTRANJ;0.819;0.77;0.775;1.075;0.667;0.806;0.893;0.141;0.861;0.605;1.095;0;0.577;0.8;1.364;0.746;1.029;0.823;0.671;0.354;1.044;0.717;1.148;0.623;0.824;0.809;0;0.569;0.141;0.923;0.961;0.822;0.871;0.161;1.484;5.0
TRANQUILO TINTO;12.374;11.959;12.572;13.162;11.341;12.536;13.836;5.802;7.595;10.236;15.159;6.824;7.342;13.407;17.705;13.637;14.322;11.485;9.146;13.432;10.425;12.863;11.724;14.092;12.205;12.781;7.069;6.389;5.802;8.911;13.03;9.912;16.957;12.191;17.753;5.0
TRANQUILO BLANCO;7.08;7.5;5.649;8.547;6.486;6.417;7.849;3.482;4.543;5.882;8.636;4.221;4.188;7.171;10.656;7.087;8.503;6.337;5.888;5.443;5.069;7.993;7.248;7.215;6.704;8.041;6.21;2.118;3.482;5.39;7.267;5.486;8.35;6.306;10.691;5.0
TRANQUILO ROSADO;1.299;1.205;1.697;1.387;1.282;1.067;1.391;0.757;1.211;1.165;1.474;0.369;0.738;1.809;1.643;0.755;1.806;1.15;1.471;1.12;1.357;1.251;1.451;1.2;1.273;1.353;0;0.841;0.757;1.448;1.998;0.997;2.079;0.653;1.609;5.0
ESPUM(IN.CAVA)+GAS;4.612;3.968;4.903;5.384;4.265;4.503;4.947;2.575;3.728;3.862;5.568;2.129;3.416;4.614;6.384;4.043;5.781;4.634;3.767;2.362;5.318;4.709;4.751;4.463;4.482;4.938;2.702;3.1;2.575;3.58;5.293;3.843;6.79;3.06;6.144;4.0
ESPUMOSOS(IN.CAVA;4.575;3.845;4.837;5.384;4.265;4.503;4.912;2.575;3.653;3.797;5.568;2.129;3.291;4.613;6.384;4.043;5.686;4.588;3.767;2.338;5.318;4.644;4.712;4.463;4.467;4.849;2.702;2.677;2.575;3.51;5.293;3.843;6.784;3.06;6.144;5.0
GASIFICADOS;0.106;0.427;0.072;0;0;0;0.12;0;0.084;0.188;0;0;0.13;0.207;0;0;0.327;0.054;0;1.173;0;0.069;0.045;0;0.111;0.093;0;0.42;0;0.077;0;0;0.556;0;0;5.0
VINOS DE AGUJA;0.411;0.621;0.463;0.537;0.312;0.145;0.408;0;0.677;0.363;0.48;0;0.553;0.311;0.495;0.228;0.544;0.288;0.588;0;0.678;0.414;0.513;0.183;0.397;0.456;0;0;0;0.451;0.334;0.916;0.877;0.171;0.493;4.0
VINOS LICOROSOS;3.68;4.734;5.047;3.41;3.165;2.454;4.145;1.193;2.231;2.652;5.06;1.903;1.377;3.726;6.249;3.35;4.549;3.818;2.886;1.617;3.15;4.26;3.925;3.233;3.908;3.22;1.674;1.743;1.193;2.841;3.451;3.875;4.763;1.701;5.965;4.0
