Alimentos;T.ESPAÑA (T.ESPAÑA);CLASE SOCIAL (NIVEL ALTO);CLASE SOCIAL (NIVEL MEDIO-ALTO);CLASE SOCIAL (NIVEL MEDIO);CLASE SOCIAL (NIVEL MEDIO-BAJO);CLASE SOCIAL (NIVEL BAJO);NÑOS EN EL HOGAR (SIN NIÑOS);NÑOS EN EL HOGAR (NIÑOS - 6 AÑOS);NÑOS EN EL HOGAR (NIÑOS 6 A 15 AÑOS);ACTIVIDAD RESPONSABLE DE COMPRA (ACTIVA);ACTIVIDAD RESPONSABLE DE COMPRA (NO ACTIVA);EDAD RESPONSABLE DE COMPRA (- 35 AÑOS);EDAD RESPONSABLE DE COMPRA (35 A 49 AÑOS);EDAD RESPONSABLE DE COMPRA (50 A 64 AÑOS);EDAD RESPONSABLE DE COMPRA (65 Y MAS AÑOS);TAMAÑO DE HOGAR (1 PERSONA);TAMAÑO DE HOGAR (2 PERSONAS);TAMAÑO DE HOGAR (3 PERSONAS);TAMAÑO DE HOGAR (4 Y MAS PERSONAS);TAMAÑO DE HÁBITAT (< 2000 HABIT.);TAMAÑO DE HÁBITAT (2000 A 10000);TAMAÑO DE HÁBITAT (10001 A 100000);TAMAÑO DE HÁBITAT (100001 A 500000);TAMAÑO DE HÁBITAT (+ DE 500000);ÁREAS METROPOLITANAS (AREAS NO METROPOL.);ÁREAS METROPOLITANAS (AREAS METROPOLITANAS);TIPO DE HOGAR (JOVENES INDEPENDIENTES);TIPO DE HOGAR (PAREJ.JOVENES SIN HIJOS);TIPO DE HOGAR (PAREJ.CON HIJOS PEQUEÑOS);TIPO DE HOGAR (PAREJ.CON HIJOS EDAD MEDIA);TIPO DE HOGAR (PAREJ.CON HIJOS MAYORES);TIPO DE HOGAR (HOGARES MONOPARENTALES);TIPO DE HOGAR (PAREJAS ADULTAS SIN HIJOS);TIPO DE HOGAR (ADULTOS INDEPENDIENTES);TIPO DE HOGAR (RETIRADOS);Nivel
NAN;T.ESPAÑA;NIVEL ALTO;NIVEL MEDIO-ALTO;NIVEL MEDIO;NIVEL MEDIO-BAJO;NIVEL BAJO;SIN NIÑOS;NIÑOS - 6 AÑOS;NIÑOS 6 A 15 AÑOS;ACTIVA;NO ACTIVA;- 35 AÑOS;35 A 49 AÑOS;50 A 64 AÑOS;65 Y MAS AÑOS;1 PERSONA;2 PERSONAS;3 PERSONAS;4 Y MAS PERSONAS;< 2000 HABIT.;2000 A 10000;10001 A 100000;100001 A 500000;+ DE 500000;AREAS NO METROPOL.;AREAS METROPOLITANAS;JOVENES INDEPENDIENTES;PAREJ.JOVENES SIN HIJOS;PAREJ.CON HIJOS PEQUEÑOS;PAREJ.CON HIJOS EDAD MEDIA;PAREJ.CON HIJOS MAYORES;HOGARES MONOPARENTALES;PAREJAS ADULTAS SIN HIJOS;ADULTOS INDEPENDIENTES;RETIRADOS;
CARNE OVINO/CAPRINO;11.182;9.256;11.805;10.438;9.966;14.475;11.931;8.582;8.271;8.635;14.143;7.769;7.002;11.949;15.582;9.486;12.859;12.376;10.18;22.705;11.88;11.441;8.739;9.397;11.903;9.514;3.577;4.823;8.582;9.624;14.829;8.63;14.636;7.454;15.134;3.0
CORDERO;10.295;8.149;10.615;9.618;9.565;13.59;10.989;8.051;7.395;7.794;13.173;7.049;6.448;10.678;14.698;8.98;12.228;11.355;8.66;22.853;10.417;10.365;8.119;8.781;10.863;8.985;3.154;4.309;8.051;8.366;13.065;8.122;12.698;6.845;14.635;4.0
CABRITO;0.797;0.753;0.743;0.773;0.319;1.127;0.928;0;0.505;0.496;1.118;0.314;0.285;0.95;1.207;0.642;1.094;0.343;0.96;0;0.548;1.335;0.592;0.26;0.94;0.448;0;0.542;0;0.569;1.508;0.658;1.199;0.165;1.159;4.0
OTRO OVINO/CAPRINO;0.442;0.656;0.53;0.447;0.306;0.283;0.425;0.482;0.501;0.439;0.45;0.402;0.318;0.658;0.341;0.219;0;1.122;0.673;0.501;1.121;0.355;0.286;0.364;0.547;0.206;0.419;0;0.482;0.662;0.864;0;1.321;0.427;0;4.0
OVINO/CAPRINO ENTE;0.611;0.323;0.571;0.943;0.548;0.607;0.58;0.179;1.084;0.376;0.877;0.091;0.563;0.742;0.64;0;0.672;1.205;0.756;1.562;0.614;0.776;0.433;0.134;0.73;0.363;0;0;0.179;1.203;1.068;0.408;0.713;0;0.754;4.0
OVINO/CAPRINO PIEZ;10.8;8.953;11.21;10.12;9.408;14.135;11.628;8.403;7.189;8.263;13.729;7.661;6.441;11.367;15.434;9.486;12.553;11.75;9.432;22.431;11.435;10.909;8.393;9.403;11.387;9.44;3.577;4.823;8.403;8.427;13.985;8.137;14.129;7.454;14.966;4.0
CARNE CERDO;71.391;75.41;67.222;72.294;70.552;69.652;70.335;73.387;77.283;69.068;74.166;63.568;69.347;74.945;72.751;56.9;73.075;77.826;80.052;79.267;74.053;71.211;69.161;69.8;72.005;69.952;42.92;66.794;73.387;78.746;83.798;75.283;78.452;55.522;70.894;3.0
CARNE CERDO ADOBAD;19.035;21.775;19.343;20.105;19.231;14.947;18.063;21.617;23.647;20.316;17.571;14.942;20.698;22.155;15.185;10.643;18.165;23.024;26.429;21.745;20.809;17.661;19.039;19.982;18.236;20.894;7.608;16.573;21.617;26.398;28.564;19.735;22.101;9.755;15.144;4.0
CARN.CERDO IBERICO;5.77;6.97;5.416;6.265;3.851;5.514;5.906;3.664;6.529;4.986;6.7;1.737;4.742;6.414;7.195;4.848;6.697;5.41;5.971;5.358;6.631;5.792;5.056;6.294;5.383;6.669;1.99;3.96;3.664;6.335;6.701;2.797;7.492;3.778;7.829;4.0
CARNE DESPOJOS;12.885;11.618;11.582;12.307;13.463;15.622;14.028;7.139;10.014;10.289;16.061;8.254;8.82;15.154;16.278;11.09;13.766;16.015;11.265;17.033;13.476;13.11;12.381;11.261;13.241;12.055;6.859;9.531;7.139;11.411;16.835;11.973;16.839;10.092;16.146;3.0
